iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
21,"(10, 1)","(10, 2)",South,"[((9, 1), 'West', 1)]","[(10, 1), (10, 4), (16, 2), (17, 9), (14, 2)]","[(9, 1), (10, 4), (16, 2), (17, 9), (14, 2)]","[(12, 1), (14, 1), (10, 3), (16, 1), (18, 4), (18, 1), (18, 7), (12, 3), (10, 2), (13, 1), (15, 1), (18, 3), (18, 9), (18, 6), (12, 2), (17, 1), (11, 3), (10, 1), (18, 2), (18, 5), (18, 8)]",20,9,9
22,"(9, 1)","(10, 1)",West,"[((8, 1), 'West', 1)]","[(9, 1), (10, 4), (16, 2), (17, 9), (14, 2)]","[(8, 1), (10, 4), (16, 2), (17, 9), (14, 2)]","[(12, 1), (14, 1), (10, 3), (16, 1), (18, 4), (18, 1), (18, 7), (12, 3), (9, 1), (10, 2), (13, 1), (15, 1), (18, 3), (18, 9), (18, 6), (12, 2), (17, 1), (11, 3), (10, 1), (18, 2), (18, 5), (18, 8)]",21,8,8
23,"(8, 1)","(9, 1)",West,"[((8, 2), 'North', 1)]","[(8, 1), (10, 4), (16, 2), (17, 9), (14, 2)]","[(8, 2), (10, 4), (16, 2), (17, 9), (14, 2)]","[(12, 1), (14, 1), (10, 3), (16, 1), (18, 4), (18, 1), (18, 7), (12, 3), (9, 1), (10, 2), (13, 1), (15, 1), (18, 3), (18, 9), (18, 6), (12, 2), (17, 1), (8, 1), (11, 3), (10, 1), (18, 2), (18, 5), (18, 8)]",22,7,7
24,"(8, 2)","(8, 1)",North,"[((8, 3), 'North', 1)]","[(8, 2), (10, 4), (16, 2), (17, 9), (14, 2)]","[(8, 3), (10, 4), (16, 2), (17, 9), (14, 2)]","[(12, 1), (14, 1), (10, 3), (16, 1), (18, 4), (18, 1), (18, 7), (12, 3), (8, 2), (9, 1), (10, 2), (13, 1), (15, 1), (18, 3), (18, 9), (18, 6), (12, 2), (17, 1), (8, 1), (11, 3), (10, 1), (18, 2), (18, 5), (18, 8)]",23,8,8
25,"(8, 3)","(8, 2)",North,"[((7, 3), 'West', 1)]","[(8, 3), (10, 4), (16, 2), (17, 9), (14, 2)]","[(7, 3), (10, 4), (16, 2), (17, 9), (14, 2)]","[(12, 1), (14, 1), (8, 3), (10, 3), (16, 1), (18, 4), (18, 1), (18, 7), (12, 3), (8, 2), (9, 1), (10, 2), (13, 1), (15, 1), (18, 3), (18, 9), (18, 6), (12, 2), (17, 1), (8, 1), (11, 3), (10, 1), (18, 2), (18, 5), (18, 8)]",24,9,9
26,"(7, 3)","(8, 3)",West,"[((6, 3), 'West', 1)]","[(7, 3), (10, 4), (16, 2), (17, 9), (14, 2)]","[(6, 3), (10, 4), (16, 2), (17, 9), (14, 2)]","[(12, 1), (14, 1), (8, 3), (10, 3), (16, 1), (18, 4), (18, 1), (18, 7), (12, 3), (8, 2), (9, 1), (10, 2), (13, 1), (15, 1), (18, 3), (18, 9), (7, 3), (18, 6), (12, 2), (17, 1), (8, 1), (11, 3), (10, 1), (18, 2), (18, 5), (18, 8)]",25,8,8
27,"(6, 3)","(7, 3)",West,"[((6, 2), 'South', 1)]","[(6, 3), (10, 4), (16, 2), (17, 9), (14, 2)]","[(6, 2), (10, 4), (16, 2), (17, 9), (14, 2)]","[(12, 1), (14, 1), (8, 3), (10, 3), (16, 1), (18, 4), (18, 1), (18, 7), (12, 3), (8, 2), (9, 1), (10, 2), (13, 1), (15, 1), (18, 3), (18, 9), (7, 3), (18, 6), (12, 2), (17, 1), (8, 1), (11, 3), (10, 1), (18, 2), (18, 5), (6, 3), (18, 8)]",26,7,7
28,"(6, 2)","(6, 3)",South,"[((6, 1), 'South', 1)]","[(6, 2), (10, 4), (16, 2), (17, 9), (14, 2)]","[(6, 1), (10, 4), (16, 2), (17, 9), (14, 2)]","[(12, 1), (14, 1), (8, 3), (10, 3), (16, 1), (18, 4), (6, 2), (18, 1), (18, 7), (12, 3), (8, 2), (9, 1), (10, 2), (13, 1), (15, 1), (18, 3), (18, 9), (7, 3), (18, 6), (12, 2), (17, 1), (8, 1), (11, 3), (10, 1), (18, 2), (18, 5), (6, 3), (18, 8)]",27,6,6
29,"(6, 1)","(6, 2)",South,"[((5, 1), 'West', 1)]","[(6, 1), (10, 4), (16, 2), (17, 9), (14, 2)]","[(5, 1), (10, 4), (16, 2), (17, 9), (14, 2)]","[(12, 1), (14, 1), (8, 3), (10, 3), (16, 1), (18, 4), (6, 2), (18, 1), (18, 7), (12, 3), (8, 2), (9, 1), (10, 2), (13, 1), (6, 1), (15, 1), (18, 3), (18, 9), (7, 3), (18, 6), (12, 2), (17, 1), (8, 1), (11, 3), (10, 1), (18, 2), (18, 5), (6, 3), (18, 8)]",28,5,5
30,"(5, 1)","(6, 1)",West,"[((4, 1), 'West', 1)]","[(5, 1), (10, 4), (16, 2), (17, 9), (14, 2)]","[(4, 1), (10, 4), (16, 2), (17, 9), (14, 2)]","[(12, 1), (14, 1), (5, 1), (8, 3), (10, 3), (16, 1), (18, 4), (6, 2), (18, 1), (18, 7), (12, 3), (8, 2), (9, 1), (10, 2), (13, 1), (6, 1), (15, 1), (18, 3), (18, 9), (7, 3), (18, 6), (12, 2), (17, 1), (8, 1), (11, 3), (10, 1), (18, 2), (18, 5), (6, 3), (18, 8)]",29,4,4
31,"(4, 1)","(5, 1)",West,"[((3, 1), 'West', 1)]","[(4, 1), (10, 4), (16, 2), (17, 9), (14, 2)]","[(3, 1), (10, 4), (16, 2), (17, 9), (14, 2)]","[(12, 1), (14, 1), (5, 1), (8, 3), (10, 3), (16, 1), (18, 4), (6, 2), (18, 1), (18, 7), (12, 3), (8, 2), (9, 1), (10, 2), (13, 1), (6, 1), (15, 1), (18, 3), (18, 9), (7, 3), (18, 6), (12, 2), (4, 1), (17, 1), (8, 1), (11, 3), (10, 1), (18, 2), (18, 5), (6, 3), (18, 8)]",30,3,3
32,"(3, 1)","(4, 1)",West,"[((2, 1), 'West', 1)]","[(3, 1), (10, 4), (16, 2), (17, 9), (14, 2)]","[(2, 1), (10, 4), (16, 2), (17, 9), (14, 2)]","[(12, 1), (14, 1), (3, 1), (5, 1), (8, 3), (10, 3), (16, 1), (18, 4), (6, 2), (18, 1), (18, 7), (12, 3), (8, 2), (9, 1), (10, 2), (13, 1), (6, 1), (15, 1), (18, 3), (18, 9), (7, 3), (18, 6), (12, 2), (4, 1), (17, 1), (8, 1), (11, 3), (10, 1), (18, 2), (18, 5), (6, 3), (18, 8)]",31,2,2
33,"(2, 1)","(3, 1)",West,"[((1, 1), 'West', 1)]","[(2, 1), (10, 4), (16, 2), (17, 9), (14, 2)]","[(1, 1), (10, 4), (16, 2), (17, 9), (14, 2)]","[(12, 1), (14, 1), (3, 1), (5, 1), (8, 3), (10, 3), (16, 1), (18, 4), (6, 2), (18, 1), (18, 7), (12, 3), (8, 2), (9, 1), (10, 2), (2, 1), (13, 1), (6, 1), (15, 1), (18, 3), (18, 9), (7, 3), (18, 6), (12, 2), (4, 1), (17, 1), (8, 1), (11, 3), (10, 1), (18, 2), (18, 5), (6, 3), (18, 8)]",32,1,1
34,"(1, 1)","(2, 1)",West,[],"[(1, 1), (10, 4), (16, 2), (17, 9), (14, 2)]","[(10, 4), (14, 2), (16, 2), (17, 9)]","[(12, 1), (14, 1), (3, 1), (5, 1), (8, 3), (10, 3), (16, 1), (18, 4), (6, 2), (18, 1), (18, 7), (12, 3), (8, 2), (9, 1), (10, 2), (2, 1), (13, 1), (6, 1), (15, 1), (18, 3), (18, 9), (7, 3), (18, 6), (12, 2), (4, 1), (17, 1), (8, 1), (1, 1), (11, 3), (10, 1), (18, 2), (18, 5), (6, 3), (18, 8)]",33,0,0
