iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
25,"(26, 3)","(27, 3)",West,"[((25, 3), 'West', 1)]","[(26, 3), (27, 1), (27, 4), (31, 6), (33, 6)]","[(27, 1), (25, 3), (27, 4), (31, 6), (33, 6)]","[(31, 5), (34, 1), (28, 3), (33, 5), (32, 3), (35, 2), (35, 5), (29, 4), (31, 4), (31, 1), (34, 3), (27, 3), (30, 5), (33, 4), (33, 1), (35, 4), (35, 1), (29, 3), (31, 3), (27, 2), (33, 3), (35, 3), (26, 3), (29, 5), (31, 2)]",15,27,42
26,"(27, 1)","(27, 2)",South,"[((28, 1), 'East', 1)]","[(27, 1), (25, 3), (27, 4), (31, 6), (33, 6)]","[(25, 3), (33, 6), (27, 4), (31, 6), (28, 1)]","[(31, 5), (34, 1), (27, 1), (28, 3), (33, 5), (32, 3), (35, 2), (35, 5), (29, 4), (31, 4), (31, 1), (34, 3), (27, 3), (30, 5), (33, 4), (33, 1), (35, 4), (35, 1), (29, 3), (31, 3), (27, 2), (33, 3), (35, 3), (26, 3), (29, 5), (31, 2)]",16,26,42
27,"(25, 3)","(26, 3)",West,"[((25, 4), 'North', 1), ((24, 3), 'West', 1)]","[(25, 3), (33, 6), (27, 4), (31, 6), (28, 1)]","[(24, 3), (31, 6), (33, 6), (28, 1), (25, 4), (27, 4)]","[(31, 5), (34, 1), (27, 1), (28, 3), (33, 5), (32, 3), (35, 2), (35, 5), (29, 4), (31, 4), (31, 1), (34, 3), (27, 3), (30, 5), (33, 4), (33, 1), (35, 4), (25, 3), (35, 1), (29, 3), (31, 3), (27, 2), (33, 3), (35, 3), (26, 3), (29, 5), (31, 2)]",16,26,42
28,"(24, 3)","(25, 3)",West,"[((23, 3), 'West', 1)]","[(24, 3), (31, 6), (33, 6), (28, 1), (25, 4), (27, 4)]","[(23, 3), (31, 6), (33, 6), (28, 1), (25, 4), (27, 4)]","[(31, 5), (34, 1), (27, 1), (28, 3), (33, 5), (32, 3), (35, 2), (35, 5), (29, 4), (31, 4), (31, 1), (34, 3), (27, 3), (30, 5), (33, 4), (33, 1), (35, 4), (25, 3), (35, 1), (29, 3), (31, 3), (27, 2), (33, 3), (35, 3), (24, 3), (26, 3), (29, 5), (31, 2)]",17,25,42
29,"(23, 3)","(24, 3)",West,"[((23, 2), 'South', 1), ((22, 3), 'West', 1)]","[(23, 3), (31, 6), (33, 6), (28, 1), (25, 4), (27, 4)]","[(23, 2), (31, 6), (22, 3), (28, 1), (25, 4), (27, 4), (33, 6)]","[(31, 5), (34, 1), (27, 1), (28, 3), (33, 5), (32, 3), (35, 2), (35, 5), (29, 4), (31, 4), (31, 1), (23, 3), (34, 3), (27, 3), (30, 5), (33, 4), (33, 1), (35, 4), (25, 3), (35, 1), (29, 3), (31, 3), (27, 2), (33, 3), (35, 3), (24, 3), (26, 3), (29, 5), (31, 2)]",18,24,42
30,"(23, 2)","(23, 3)",South,"[((23, 1), 'South', 1)]","[(23, 2), (31, 6), (22, 3), (28, 1), (25, 4), (27, 4), (33, 6)]","[(22, 3), (31, 6), (23, 1), (28, 1), (25, 4), (27, 4), (33, 6)]","[(31, 5), (34, 1), (27, 1), (28, 3), (33, 5), (32, 3), (35, 2), (35, 5), (29, 4), (31, 4), (31, 1), (23, 3), (34, 3), (27, 3), (30, 5), (33, 4), (33, 1), (35, 4), (25, 3), (35, 1), (29, 3), (31, 3), (23, 2), (27, 2), (33, 3), (35, 3), (24, 3), (26, 3), (29, 5), (31, 2)]",19,23,42
31,"(22, 3)","(23, 3)",West,"[((21, 3), 'West', 1)]","[(22, 3), (31, 6), (23, 1), (28, 1), (25, 4), (27, 4), (33, 6)]","[(23, 1), (31, 6), (21, 3), (28, 1), (25, 4), (27, 4), (33, 6)]","[(31, 5), (34, 1), (27, 1), (28, 3), (33, 5), (32, 3), (35, 2), (35, 5), (29, 4), (31, 4), (31, 1), (23, 3), (34, 3), (27, 3), (30, 5), (33, 4), (33, 1), (35, 4), (25, 3), (35, 1), (29, 3), (31, 3), (23, 2), (22, 3), (27, 2), (33, 3), (35, 3), (24, 3), (26, 3), (29, 5), (31, 2)]",19,23,42
32,"(23, 1)","(23, 2)",South,"[((24, 1), 'East', 1), ((22, 1), 'West', 1)]","[(23, 1), (31, 6), (21, 3), (28, 1), (25, 4), (27, 4), (33, 6)]","[(21, 3), (22, 1), (33, 6), (31, 6), (25, 4), (27, 4), (24, 1), (28, 1)]","[(31, 5), (23, 1), (34, 1), (27, 1), (28, 3), (33, 5), (32, 3), (35, 2), (35, 5), (29, 4), (31, 4), (31, 1), (23, 3), (34, 3), (27, 3), (30, 5), (33, 4), (33, 1), (35, 4), (25, 3), (35, 1), (29, 3), (31, 3), (23, 2), (22, 3), (27, 2), (33, 3), (35, 3), (24, 3), (26, 3), (29, 5), (31, 2)]",20,22,42
33,"(21, 3)","(22, 3)",West,"[((20, 3), 'West', 1)]","[(21, 3), (22, 1), (33, 6), (31, 6), (25, 4), (27, 4), (24, 1), (28, 1)]","[(22, 1), (20, 3), (33, 6), (31, 6), (25, 4), (27, 4), (24, 1), (28, 1)]","[(31, 5), (23, 1), (34, 1), (27, 1), (28, 3), (33, 5), (32, 3), (35, 2), (35, 5), (29, 4), (31, 4), (21, 3), (31, 1), (23, 3), (34, 3), (27, 3), (30, 5), (33, 4), (33, 1), (35, 4), (25, 3), (35, 1), (29, 3), (31, 3), (23, 2), (22, 3), (27, 2), (33, 3), (35, 3), (24, 3), (26, 3), (29, 5), (31, 2)]",20,22,42
34,"(22, 1)","(23, 1)",West,"[((21, 1), 'West', 1)]","[(22, 1), (20, 3), (33, 6), (31, 6), (25, 4), (27, 4), (24, 1), (28, 1)]","[(20, 3), (21, 1), (33, 6), (31, 6), (25, 4), (27, 4), (24, 1), (28, 1)]","[(31, 5), (23, 1), (34, 1), (27, 1), (28, 3), (33, 5), (32, 3), (35, 2), (35, 5), (29, 4), (31, 4), (22, 1), (21, 3), (31, 1), (23, 3), (34, 3), (27, 3), (30, 5), (33, 4), (33, 1), (35, 4), (25, 3), (35, 1), (29, 3), (31, 3), (23, 2), (22, 3), (27, 2), (33, 3), (35, 3), (24, 3), (26, 3), (29, 5), (31, 2)]",21,21,42
