iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
17,"(26, 16)","(27, 16)",West,"[((25, 16), 'West', 1)]","[(26, 16), (31, 12)]","[(25, 16), (31, 12)]","[(30, 14), (31, 14), (33, 16), (32, 14), (28, 16), (34, 16), (29, 16), (30, 13), (30, 16), (31, 16), (26, 16), (32, 16), (27, 16), (30, 12), (34, 15), (33, 14), (34, 14)]",8,40,48
18,"(25, 16)","(26, 16)",West,"[((25, 15), 'South', 1), ((24, 16), 'West', 1)]","[(25, 16), (31, 12)]","[(25, 15), (31, 12), (24, 16)]","[(25, 16), (30, 14), (31, 14), (33, 16), (32, 14), (28, 16), (34, 16), (29, 16), (30, 13), (30, 16), (31, 16), (26, 16), (32, 16), (27, 16), (30, 12), (34, 15), (33, 14), (34, 14)]",9,39,48
19,"(25, 15)","(25, 16)",South,"[((25, 14), 'South', 1)]","[(25, 15), (31, 12), (24, 16)]","[(24, 16), (31, 12), (25, 14)]","[(31, 14), (34, 16), (27, 16), (30, 12), (33, 14), (25, 16), (29, 16), (31, 16), (34, 15), (30, 14), (33, 16), (32, 14), (25, 15), (26, 16), (34, 14), (28, 16), (30, 13), (30, 16), (32, 16)]",10,38,48
20,"(24, 16)","(25, 16)",West,"[((23, 16), 'West', 1)]","[(24, 16), (31, 12), (25, 14)]","[(25, 14), (31, 12), (23, 16)]","[(31, 14), (34, 16), (27, 16), (30, 12), (33, 14), (25, 16), (29, 16), (31, 16), (34, 15), (30, 14), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (34, 14), (28, 16), (30, 13), (30, 16), (32, 16)]",10,38,48
21,"(25, 14)","(25, 15)",South,"[((26, 14), 'East', 1)]","[(25, 14), (31, 12), (23, 16)]","[(23, 16), (31, 12), (26, 14)]","[(31, 14), (34, 16), (27, 16), (30, 12), (33, 14), (25, 16), (29, 16), (31, 16), (34, 15), (30, 14), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (34, 14), (28, 16), (30, 13), (30, 16), (32, 16), (25, 14)]",11,37,48
22,"(23, 16)","(24, 16)",West,"[((22, 16), 'West', 1)]","[(23, 16), (31, 12), (26, 14)]","[(22, 16), (26, 14), (31, 12)]","[(31, 14), (23, 16), (34, 16), (27, 16), (30, 12), (33, 14), (25, 16), (29, 16), (31, 16), (34, 15), (30, 14), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (34, 14), (28, 16), (30, 13), (30, 16), (32, 16), (25, 14)]",11,37,48
23,"(22, 16)","(23, 16)",West,"[((21, 16), 'West', 1)]","[(22, 16), (26, 14), (31, 12)]","[(21, 16), (26, 14), (31, 12)]","[(31, 14), (23, 16), (34, 16), (27, 16), (30, 12), (33, 14), (25, 16), (29, 16), (31, 16), (22, 16), (34, 15), (30, 14), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (34, 14), (28, 16), (30, 13), (30, 16), (32, 16), (25, 14)]",12,36,48
24,"(21, 16)","(22, 16)",West,"[((20, 16), 'West', 1)]","[(21, 16), (26, 14), (31, 12)]","[(20, 16), (26, 14), (31, 12)]","[(21, 16), (31, 14), (23, 16), (34, 16), (27, 16), (30, 12), (33, 14), (25, 16), (29, 16), (31, 16), (22, 16), (34, 15), (30, 14), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (34, 14), (28, 16), (30, 13), (30, 16), (32, 16), (25, 14)]",13,35,48
25,"(20, 16)","(21, 16)",West,"[((19, 16), 'West', 1)]","[(20, 16), (26, 14), (31, 12)]","[(19, 16), (26, 14), (31, 12)]","[(21, 16), (31, 14), (23, 16), (34, 16), (27, 16), (30, 12), (33, 14), (25, 16), (29, 16), (31, 16), (20, 16), (22, 16), (34, 15), (30, 14), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (34, 14), (28, 16), (30, 13), (30, 16), (32, 16), (25, 14)]",14,34,48
26,"(19, 16)","(20, 16)",West,"[((18, 16), 'West', 1)]","[(19, 16), (26, 14), (31, 12)]","[(18, 16), (26, 14), (31, 12)]","[(21, 16), (31, 14), (23, 16), (34, 16), (27, 16), (30, 12), (33, 14), (25, 16), (29, 16), (31, 16), (20, 16), (22, 16), (34, 15), (30, 14), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (34, 14), (28, 16), (30, 13), (30, 16), (19, 16), (32, 16), (25, 14)]",15,33,48
