iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(18, 9)",None,None,"[((18, 8), 'South', 1), ((17, 9), 'West', 1)]","['(18, 9)']","['(18, 8)', '(17, 9)']","[(18, 9)]",0,0,0
2,"(18, 8)","(18, 9)",South,"[((18, 7), 'South', 1)]","['(18, 8)', '(17, 9)']","['(18, 7)', '(17, 9)']","[(18, 9), (18, 8)]",1,0,1
3,"(18, 7)","(18, 8)",South,"[((18, 6), 'South', 1)]","['(18, 7)', '(17, 9)']","['(18, 6)', '(17, 9)']","[(18, 9), (18, 7), (18, 8)]",2,0,2
4,"(18, 6)","(18, 7)",South,"[((18, 5), 'South', 1)]","['(18, 6)', '(17, 9)']","['(18, 5)', '(17, 9)']","[(18, 9), (18, 6), (18, 7), (18, 8)]",3,0,3
5,"(18, 5)","(18, 6)",South,"[((18, 4), 'South', 1)]","['(18, 5)', '(17, 9)']","['(18, 4)', '(17, 9)']","[(18, 7), (18, 9), (18, 6), (18, 5), (18, 8)]",4,0,4
6,"(18, 4)","(18, 5)",South,"[((18, 3), 'South', 1)]","['(18, 4)', '(17, 9)']","['(18, 3)', '(17, 9)']","[(18, 4), (18, 7), (18, 9), (18, 6), (18, 5), (18, 8)]",5,0,5
7,"(18, 3)","(18, 4)",South,"[((18, 2), 'South', 1)]","['(18, 3)', '(17, 9)']","['(18, 2)', '(17, 9)']","[(18, 4), (18, 7), (18, 3), (18, 9), (18, 6), (18, 5), (18, 8)]",6,0,6
8,"(18, 2)","(18, 3)",South,"[((18, 1), 'South', 1)]","['(18, 2)', '(17, 9)']","['(18, 1)', '(17, 9)']","[(18, 4), (18, 7), (18, 3), (18, 9), (18, 6), (18, 2), (18, 5), (18, 8)]",7,0,7
9,"(18, 1)","(18, 2)",South,"[((17, 1), 'West', 1)]","['(18, 1)', '(17, 9)']","['(17, 1)', '(17, 9)']","[(18, 4), (18, 1), (18, 7), (18, 3), (18, 9), (18, 6), (18, 2), (18, 5), (18, 8)]",8,0,8
10,"(17, 1)","(18, 1)",West,"[((16, 1), 'West', 1)]","['(17, 1)', '(17, 9)']","['(16, 1)', '(17, 9)']","[(18, 4), (17, 1), (18, 1), (18, 7), (18, 3), (18, 9), (18, 6), (18, 2), (18, 5), (18, 8)]",9,0,9
