iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
30,"(32, 6)","(33, 6)",West,"[((31, 6), 'West', 1)]","[(32, 6), (33, 16)]","[(31, 6), (33, 16)]","[(31, 8), (31, 14), (34, 7), (34, 10), (34, 16), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (29, 10), (34, 6), (31, 10), (34, 12), (34, 15), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (31, 12), (34, 11), (34, 8), (34, 14), (30, 13), (30, 10), (33, 6), (33, 12), (32, 10)]",28,36,36
31,"(31, 6)","(32, 6)",West,"[((30, 6), 'West', 1)]","[(31, 6), (33, 16)]","[(30, 6), (33, 16)]","[(31, 8), (31, 14), (34, 7), (34, 10), (34, 16), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (29, 10), (34, 6), (31, 10), (34, 12), (34, 15), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (31, 6), (31, 12), (34, 11), (34, 8), (34, 14), (30, 13), (30, 10), (33, 6), (33, 12), (32, 10)]",29,35,35
32,"(30, 6)","(31, 6)",West,"[((30, 5), 'South', 1), ((29, 6), 'West', 1)]","[(30, 6), (33, 16)]","[(30, 5), (33, 16), (29, 6)]","[(31, 8), (31, 14), (34, 7), (34, 10), (34, 16), (30, 6), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (29, 10), (34, 6), (31, 10), (34, 12), (34, 15), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (31, 6), (31, 12), (34, 11), (34, 8), (34, 14), (30, 13), (30, 10), (33, 6), (33, 12), (32, 10)]",30,34,34
33,"(30, 5)","(30, 6)",South,"[((30, 4), 'South', 1)]","[(30, 5), (33, 16), (29, 6)]","[(30, 4), (33, 16), (29, 6)]","[(31, 8), (31, 14), (34, 7), (34, 10), (34, 16), (30, 6), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (29, 10), (34, 6), (31, 10), (34, 12), (34, 15), (30, 5), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (31, 6), (31, 12), (34, 11), (34, 8), (34, 14), (30, 13), (30, 10), (33, 6), (33, 12), (32, 10)]",31,33,33
34,"(30, 4)","(30, 5)",South,"[((30, 3), 'South', 1), ((31, 4), 'East', 1)]","[(30, 4), (33, 16), (29, 6)]","[(30, 3), (31, 4), (29, 6), (33, 16)]","[(31, 8), (31, 14), (34, 7), (34, 10), (34, 16), (30, 6), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (29, 10), (34, 6), (31, 10), (34, 12), (34, 15), (30, 5), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (31, 6), (31, 12), (34, 11), (34, 8), (34, 14), (30, 4), (30, 13), (30, 10), (33, 6), (33, 12), (32, 10)]",32,32,32
35,"(30, 3)","(30, 4)",South,"[((31, 3), 'East', 1)]","[(30, 3), (31, 4), (29, 6), (33, 16)]","[(31, 3), (29, 6), (33, 16), (31, 4)]","[(31, 8), (31, 14), (34, 7), (34, 10), (34, 16), (30, 6), (30, 3), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (29, 10), (34, 6), (31, 10), (34, 12), (34, 15), (30, 5), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (31, 6), (31, 12), (34, 11), (34, 8), (34, 14), (30, 4), (30, 13), (30, 10), (33, 6), (33, 12), (32, 10)]",33,31,31
36,"(31, 3)","(30, 3)",East,"[((31, 4), 'North', 1)]","[(31, 3), (29, 6), (33, 16), (31, 4)]","[(29, 6), (31, 4), (33, 16), (31, 4)]","[(31, 8), (31, 14), (34, 7), (34, 10), (34, 16), (30, 6), (30, 3), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (29, 10), (34, 6), (31, 10), (34, 12), (34, 15), (30, 5), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (31, 6), (31, 3), (31, 12), (34, 11), (34, 8), (34, 14), (30, 4), (30, 13), (30, 10), (33, 6), (33, 12), (32, 10)]",34,32,32
37,"(29, 6)","(30, 6)",West,[],"[(29, 6), (31, 4), (33, 16), (31, 4)]","[(31, 4), (31, 4), (33, 16)]","[(31, 8), (31, 14), (34, 7), (34, 10), (34, 16), (30, 6), (30, 3), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (29, 10), (34, 6), (31, 10), (34, 12), (34, 15), (30, 5), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (29, 6), (31, 6), (31, 3), (31, 12), (34, 11), (34, 8), (34, 14), (30, 4), (30, 13), (30, 10), (33, 6), (33, 12), (32, 10)]",31,33,33
38,"(31, 4)","(30, 4)",East,"[((32, 4), 'East', 1)]","[(31, 4), (31, 4), (33, 16)]","[(31, 4), (33, 16), (32, 4)]","[(31, 8), (31, 14), (34, 7), (34, 10), (34, 16), (30, 6), (30, 3), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (31, 4), (29, 10), (34, 6), (31, 10), (34, 12), (34, 15), (30, 5), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (29, 6), (31, 6), (31, 3), (31, 12), (34, 11), (34, 8), (34, 14), (30, 4), (30, 13), (30, 10), (33, 6), (33, 12), (32, 10)]",33,33,33
39,"(32, 4)","(31, 4)",East,"[((33, 4), 'East', 1)]","[(32, 4), (33, 16)]","[(33, 4), (33, 16)]","[(31, 8), (31, 14), (34, 7), (34, 10), (34, 16), (30, 6), (30, 3), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (31, 4), (29, 10), (34, 6), (31, 10), (34, 12), (34, 15), (30, 5), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (29, 6), (31, 6), (31, 3), (31, 12), (34, 11), (34, 8), (34, 14), (30, 4), (30, 13), (32, 4), (30, 10), (33, 6), (33, 12), (32, 10)]",34,34,34
