iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
11,"(31, 1)","(31, 2)",South,[],"[(31, 1), (31, 4), (33, 4), (35, 4)]","[(31, 4), (35, 4), (33, 4)]","[(33, 1), (34, 1), (35, 1), (32, 3), (31, 1), (33, 3), (34, 3), (35, 3), (31, 3), (35, 2), (31, 2)]",8,30,30
12,"(31, 4)","(31, 3)",North,"[((31, 5), 'North', 1)]","[(31, 4), (35, 4), (33, 4)]","[(31, 5), (35, 4), (33, 4)]","[(33, 1), (34, 1), (35, 1), (31, 4), (32, 3), (31, 1), (33, 3), (34, 3), (35, 3), (31, 3), (35, 2), (31, 2)]",7,33,33
13,"(31, 5)","(31, 4)",North,"[((31, 6), 'North', 1), ((30, 5), 'West', 1)]","[(31, 5), (35, 4), (33, 4)]","[(30, 5), (33, 4), (31, 6), (35, 4)]","[(31, 5), (33, 1), (34, 1), (35, 1), (31, 4), (32, 3), (31, 1), (33, 3), (34, 3), (35, 3), (31, 3), (35, 2), (31, 2)]",8,34,34
14,"(30, 5)","(31, 5)",West,"[((29, 5), 'West', 1)]","[(30, 5), (33, 4), (31, 6), (35, 4)]","[(29, 5), (33, 4), (31, 6), (35, 4)]","[(31, 5), (33, 1), (34, 1), (35, 1), (31, 4), (32, 3), (31, 1), (33, 3), (34, 3), (35, 3), (31, 3), (35, 2), (31, 2), (30, 5)]",9,33,33
15,"(29, 5)","(30, 5)",West,"[((29, 4), 'South', 1)]","[(29, 5), (33, 4), (31, 6), (35, 4)]","[(29, 4), (33, 4), (31, 6), (35, 4)]","[(31, 5), (33, 1), (34, 1), (35, 1), (31, 4), (32, 3), (31, 1), (33, 3), (34, 3), (35, 3), (31, 3), (35, 2), (29, 5), (31, 2), (30, 5)]",10,32,32
16,"(29, 4)","(29, 5)",South,"[((29, 3), 'South', 1)]","[(29, 4), (33, 4), (31, 6), (35, 4)]","[(29, 3), (33, 4), (31, 6), (35, 4)]","[(31, 5), (33, 1), (29, 4), (34, 1), (35, 1), (31, 4), (32, 3), (31, 1), (33, 3), (34, 3), (35, 3), (31, 3), (35, 2), (29, 5), (31, 2), (30, 5)]",11,31,31
17,"(29, 3)","(29, 4)",South,"[((28, 3), 'West', 1)]","[(29, 3), (33, 4), (31, 6), (35, 4)]","[(28, 3), (33, 4), (31, 6), (35, 4)]","[(31, 5), (33, 1), (29, 4), (34, 1), (35, 1), (31, 4), (32, 3), (31, 1), (33, 3), (34, 3), (29, 3), (35, 3), (31, 3), (35, 2), (29, 5), (31, 2), (30, 5)]",12,30,30
18,"(28, 3)","(29, 3)",West,"[((27, 3), 'West', 1)]","[(28, 3), (33, 4), (31, 6), (35, 4)]","[(27, 3), (33, 4), (31, 6), (35, 4)]","[(31, 5), (33, 1), (29, 4), (34, 1), (35, 1), (31, 4), (32, 3), (31, 1), (33, 3), (28, 3), (34, 3), (29, 3), (35, 3), (31, 3), (35, 2), (29, 5), (31, 2), (30, 5)]",13,29,29
19,"(27, 3)","(28, 3)",West,"[((27, 4), 'North', 1), ((27, 2), 'South', 1), ((26, 3), 'West', 1)]","[(27, 3), (33, 4), (31, 6), (35, 4)]","[(27, 2), (27, 4), (26, 3), (35, 4), (33, 4), (31, 6)]","[(31, 5), (34, 1), (28, 3), (32, 3), (35, 2), (29, 4), (31, 4), (31, 1), (34, 3), (27, 3), (30, 5), (33, 1), (35, 1), (29, 3), (31, 3), (33, 3), (35, 3), (29, 5), (31, 2)]",14,28,28
20,"(27, 2)","(27, 3)",South,"[((27, 1), 'South', 1)]","[(27, 2), (27, 4), (26, 3), (35, 4), (33, 4), (31, 6)]","[(27, 1), (27, 4), (26, 3), (35, 4), (33, 4), (31, 6)]","[(31, 5), (34, 1), (28, 3), (32, 3), (35, 2), (29, 4), (31, 4), (31, 1), (34, 3), (27, 3), (30, 5), (33, 1), (35, 1), (29, 3), (31, 3), (27, 2), (33, 3), (35, 3), (29, 5), (31, 2)]",15,27,27
21,"(27, 1)","(27, 2)",South,"[((28, 1), 'East', 1)]","[(27, 1), (27, 4), (26, 3), (35, 4), (33, 4), (31, 6)]","[(26, 3), (27, 4), (28, 1), (35, 4), (33, 4), (31, 6)]","[(31, 5), (34, 1), (27, 1), (28, 3), (32, 3), (35, 2), (29, 4), (31, 4), (31, 1), (34, 3), (27, 3), (30, 5), (33, 1), (35, 1), (29, 3), (31, 3), (27, 2), (33, 3), (35, 3), (29, 5), (31, 2)]",16,26,26
22,"(26, 3)","(27, 3)",West,"[((25, 3), 'West', 1)]","[(26, 3), (27, 4), (28, 1), (35, 4), (33, 4), (31, 6)]","[(25, 3), (27, 4), (28, 1), (35, 4), (33, 4), (31, 6)]","[(31, 5), (34, 1), (27, 1), (28, 3), (32, 3), (35, 2), (29, 4), (31, 4), (31, 1), (34, 3), (27, 3), (30, 5), (33, 1), (35, 1), (29, 3), (31, 3), (27, 2), (33, 3), (35, 3), (26, 3), (29, 5), (31, 2)]",15,27,27
