iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
20,"(7, 8)","(8, 8)",West,"[((6, 8), 'West', 1)]","[(7, 8), (15, 4), (12, 3), (11, 4), (6, 5)]","[(15, 4), (12, 3), (11, 4), (6, 5), (6, 8)]","[(12, 4), (14, 4), (10, 6), (9, 8), (8, 6), (11, 8), (13, 5), (13, 8), (12, 6), (11, 7), (8, 8), (13, 4), (10, 8), (13, 7), (7, 6), (9, 6), (11, 6), (13, 6), (6, 6), (7, 8)]",6,0,6
21,"(15, 4)","(14, 4)",East,"[((16, 4), 'East', 1)]","[(15, 4), (12, 3), (11, 4), (6, 5), (6, 8)]","[(12, 3), (11, 4), (6, 5), (6, 8), (16, 4)]","[(12, 4), (14, 4), (10, 6), (9, 8), (8, 6), (11, 8), (13, 5), (13, 8), (12, 6), (11, 7), (8, 8), (13, 4), (10, 8), (13, 7), (15, 4), (7, 6), (9, 6), (11, 6), (13, 6), (6, 6), (7, 8)]",6,0,6
22,"(12, 3)","(12, 4)",South,"[((12, 2), 'South', 1)]","[(12, 3), (11, 4), (6, 5), (6, 8), (16, 4)]","[(11, 4), (6, 5), (6, 8), (16, 4), (12, 2)]","[(12, 4), (14, 4), (10, 6), (9, 8), (8, 6), (11, 8), (13, 5), (13, 8), (12, 3), (12, 6), (11, 7), (8, 8), (13, 4), (10, 8), (13, 7), (15, 4), (7, 6), (9, 6), (11, 6), (13, 6), (6, 6), (7, 8)]",6,0,6
23,"(11, 4)","(12, 4)",West,"[((10, 4), 'West', 1)]","[(11, 4), (6, 5), (6, 8), (16, 4), (12, 2)]","[(6, 5), (6, 8), (16, 4), (12, 2), (10, 4)]","[(12, 4), (14, 4), (10, 6), (9, 8), (8, 6), (11, 8), (13, 5), (13, 8), (12, 3), (12, 6), (11, 4), (11, 7), (8, 8), (13, 4), (10, 8), (13, 7), (15, 4), (7, 6), (9, 6), (11, 6), (13, 6), (6, 6), (7, 8)]",6,0,6
24,"(6, 5)","(6, 6)",South,"[((6, 4), 'South', 1)]","[(6, 5), (6, 8), (16, 4), (12, 2), (10, 4)]","[(6, 8), (16, 4), (12, 2), (10, 4), (6, 4)]","[(12, 4), (14, 4), (10, 6), (9, 8), (8, 6), (11, 8), (13, 5), (13, 8), (6, 5), (12, 3), (12, 6), (11, 4), (11, 7), (8, 8), (13, 4), (10, 8), (13, 7), (15, 4), (7, 6), (9, 6), (11, 6), (13, 6), (6, 6), (7, 8)]",6,0,6
25,"(6, 8)","(7, 8)",West,"[((5, 8), 'West', 1)]","[(6, 8), (16, 4), (12, 2), (10, 4), (6, 4)]","[(16, 4), (12, 2), (10, 4), (6, 4), (5, 8)]","[(12, 4), (14, 4), (10, 6), (9, 8), (8, 6), (11, 8), (13, 5), (13, 8), (6, 5), (6, 8), (12, 3), (12, 6), (11, 4), (11, 7), (8, 8), (13, 4), (10, 8), (13, 7), (15, 4), (7, 6), (9, 6), (11, 6), (13, 6), (6, 6), (7, 8)]",7,0,7
26,"(16, 4)","(15, 4)",East,"[((16, 5), 'North', 1), ((16, 3), 'South', 1)]","[(16, 4), (12, 2), (10, 4), (6, 4), (5, 8)]","[(12, 2), (10, 4), (6, 4), (5, 8), (16, 5), (16, 3)]","[(12, 4), (14, 4), (10, 6), (9, 8), (8, 6), (11, 8), (13, 5), (16, 4), (13, 8), (6, 5), (6, 8), (12, 3), (12, 6), (11, 4), (11, 7), (8, 8), (13, 4), (10, 8), (13, 7), (15, 4), (7, 6), (9, 6), (11, 6), (13, 6), (6, 6), (7, 8)]",7,0,7
27,"(12, 2)","(12, 3)",South,"[((13, 2), 'East', 1), ((11, 2), 'West', 1)]","[(12, 2), (10, 4), (6, 4), (5, 8), (16, 5), (16, 3)]","[(10, 4), (6, 4), (5, 8), (16, 5), (16, 3), (13, 2), (11, 2)]","[(12, 4), (14, 4), (10, 6), (9, 8), (8, 6), (11, 8), (13, 5), (16, 4), (13, 8), (6, 5), (6, 8), (12, 3), (12, 6), (11, 4), (11, 7), (8, 8), (13, 4), (10, 8), (13, 7), (15, 4), (7, 6), (12, 2), (9, 6), (11, 6), (13, 6), (6, 6), (7, 8)]",7,0,7
28,"(10, 4)","(11, 4)",West,"[((9, 4), 'West', 1)]","[(10, 4), (6, 4), (5, 8), (16, 5), (16, 3), (13, 2), (11, 2)]","[(6, 4), (5, 8), (16, 5), (16, 3), (13, 2), (11, 2), (9, 4)]","[(12, 4), (14, 4), (10, 6), (9, 8), (8, 6), (11, 8), (13, 5), (16, 4), (13, 8), (6, 5), (6, 8), (12, 3), (12, 6), (11, 4), (11, 7), (8, 8), (13, 4), (10, 8), (13, 7), (15, 4), (7, 6), (12, 2), (10, 4), (9, 6), (11, 6), (13, 6), (6, 6), (7, 8)]",7,0,7
29,"(6, 4)","(6, 5)",South,"[((6, 3), 'South', 1)]","[(6, 4), (5, 8), (16, 5), (16, 3), (13, 2), (11, 2), (9, 4)]","[(5, 8), (16, 5), (16, 3), (13, 2), (11, 2), (9, 4), (6, 3)]","[(12, 4), (14, 4), (10, 6), (9, 8), (8, 6), (11, 8), (13, 5), (16, 4), (13, 8), (6, 5), (6, 8), (12, 3), (12, 6), (11, 4), (11, 7), (8, 8), (13, 4), (10, 8), (13, 7), (15, 4), (6, 4), (7, 6), (12, 2), (10, 4), (9, 6), (11, 6), (13, 6), (6, 6), (7, 8)]",7,0,7
30,"(5, 8)","(6, 8)",West,"[((4, 8), 'West', 1)]","[(5, 8), (16, 5), (16, 3), (13, 2), (11, 2), (9, 4), (6, 3)]","[(16, 5), (16, 3), (13, 2), (11, 2), (9, 4), (6, 3), (4, 8)]","[(12, 4), (14, 4), (10, 6), (9, 8), (8, 6), (11, 8), (13, 5), (16, 4), (13, 8), (6, 5), (6, 8), (12, 3), (12, 6), (11, 4), (11, 7), (8, 8), (13, 4), (10, 8), (13, 7), (15, 4), (6, 4), (7, 6), (12, 2), (5, 8), (10, 4), (9, 6), (11, 6), (13, 6), (6, 6), (7, 8)]",8,0,8
31,"(16, 5)","(16, 4)",North,"[((16, 6), 'North', 1)]","[(16, 5), (16, 3), (13, 2), (11, 2), (9, 4), (6, 3), (4, 8)]","[(16, 3), (13, 2), (11, 2), (9, 4), (6, 3), (4, 8), (16, 6)]","[(12, 4), (14, 4), (10, 6), (9, 8), (8, 6), (11, 8), (13, 5), (16, 4), (13, 8), (6, 5), (6, 8), (12, 3), (12, 6), (11, 4), (11, 7), (8, 8), (13, 4), (10, 8), (13, 7), (15, 4), (6, 4), (7, 6), (12, 2), (5, 8), (10, 4), (9, 6), (11, 6), (13, 6), (16, 5), (6, 6), (7, 8)]",8,0,8
32,"(16, 3)","(16, 4)",South,"[((17, 3), 'East', 1)]","[(16, 3), (13, 2), (11, 2), (9, 4), (6, 3), (4, 8), (16, 6)]","[(13, 2), (11, 2), (9, 4), (6, 3), (4, 8), (16, 6), (17, 3)]","[(12, 4), (14, 4), (10, 6), (9, 8), (8, 6), (11, 8), (13, 5), (16, 4), (13, 8), (6, 5), (6, 8), (12, 3), (12, 6), (11, 4), (11, 7), (8, 8), (13, 4), (10, 8), (13, 7), (15, 4), (16, 3), (6, 4), (7, 6), (12, 2), (5, 8), (10, 4), (9, 6), (11, 6), (13, 6), (16, 5), (6, 6), (7, 8)]",8,0,8
33,"(13, 2)","(12, 2)",East,"[((13, 1), 'South', 1)]","[(13, 2), (11, 2), (9, 4), (6, 3), (4, 8), (16, 6), (17, 3)]","[(11, 2), (9, 4), (6, 3), (4, 8), (16, 6), (17, 3), (13, 1)]","[(12, 4), (14, 4), (10, 6), (9, 8), (8, 6), (13, 2), (11, 8), (13, 5), (16, 4), (13, 8), (6, 5), (6, 8), (12, 3), (12, 6), (11, 4), (11, 7), (8, 8), (13, 4), (10, 8), (13, 7), (15, 4), (16, 3), (6, 4), (7, 6), (12, 2), (5, 8), (10, 4), (9, 6), (11, 6), (13, 6), (16, 5), (6, 6), (7, 8)]",8,0,8
34,"(11, 2)","(12, 2)",West,"[((10, 2), 'West', 1)]","[(11, 2), (9, 4), (6, 3), (4, 8), (16, 6), (17, 3), (13, 1)]","[(9, 4), (6, 3), (4, 8), (16, 6), (17, 3), (13, 1), (10, 2)]","[(12, 4), (14, 4), (11, 2), (10, 6), (9, 8), (8, 6), (13, 2), (11, 8), (13, 5), (16, 4), (13, 8), (6, 5), (6, 8), (12, 3), (12, 6), (11, 4), (11, 7), (8, 8), (13, 4), (10, 8), (13, 7), (15, 4), (16, 3), (6, 4), (7, 6), (12, 2), (5, 8), (10, 4), (9, 6), (11, 6), (13, 6), (16, 5), (6, 6), (7, 8)]",8,0,8
