iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
11,"((11, 4), ())","((10, 4), ())",East,"[(((11, 3), ()), 'South', 1), (((12, 4), ()), 'East', 1)]","[((11, 4), ()), ((7, 4), ())]","[((7, 4), ()), ((11, 3), ()), ((12, 4), ())]","[((7, 2), ()), ((8, 2), ()), ((6, 2), ()), ((10, 4), ()), ((9, 4), ()), ((9, 3), ()), ((8, 4), ()), ((5, 2), ()), ((11, 4), ()), ((5, 1), ()), ((9, 2), ())]",9,38,47
12,"((7, 4), ())","((8, 4), ())",West,"[(((6, 4), ()), 'West', 1)]","[((7, 4), ()), ((11, 3), ()), ((12, 4), ())]","[((11, 3), ()), ((12, 4), ()), ((6, 4), ())]","[((7, 2), ()), ((8, 2), ()), ((6, 2), ()), ((10, 4), ()), ((9, 4), ()), ((9, 3), ()), ((7, 4), ()), ((8, 4), ()), ((5, 2), ()), ((11, 4), ()), ((5, 1), ()), ((9, 2), ())]",9,38,47
13,"((11, 3), ())","((11, 4), ())",South,"[(((11, 2), ()), 'South', 1)]","[((11, 3), ()), ((12, 4), ()), ((6, 4), ())]","[((12, 4), ()), ((6, 4), ()), ((11, 2), ())]","[((7, 2), ()), ((8, 2), ()), ((6, 2), ()), ((10, 4), ()), ((9, 4), ()), ((9, 3), ()), ((7, 4), ()), ((8, 4), ()), ((5, 2), ()), ((11, 4), ()), ((5, 1), ()), ((11, 3), ()), ((9, 2), ())]",10,38,48
14,"((12, 4), ())","((11, 4), ())",East,"[(((13, 4), ()), 'East', 1)]","[((12, 4), ()), ((6, 4), ()), ((11, 2), ())]","[((6, 4), ()), ((11, 2), ()), ((13, 4), ())]","[((7, 2), ()), ((8, 2), ()), ((6, 2), ()), ((10, 4), ()), ((9, 4), ()), ((9, 3), ()), ((7, 4), ()), ((12, 4), ()), ((8, 4), ()), ((5, 2), ()), ((11, 4), ()), ((5, 1), ()), ((11, 3), ()), ((9, 2), ())]",10,38,48
15,"((6, 4), ())","((7, 4), ())",West,"[(((5, 4), ()), 'West', 1)]","[((6, 4), ()), ((11, 2), ()), ((13, 4), ())]","[((11, 2), ()), ((13, 4), ()), ((5, 4), ())]","[((7, 2), ()), ((8, 2), ()), ((6, 2), ()), ((10, 4), ()), ((9, 4), ()), ((9, 3), ()), ((7, 4), ()), ((12, 4), ()), ((8, 4), ()), ((6, 4), ()), ((5, 2), ()), ((11, 4), ()), ((5, 1), ()), ((11, 3), ()), ((9, 2), ())]",10,38,48
16,"((11, 2), ())","((11, 3), ())",South,"[(((11, 1), ()), 'South', 1), (((12, 2), ()), 'East', 1)]","[((11, 2), ()), ((13, 4), ()), ((5, 4), ())]","[((13, 4), ()), ((5, 4), ()), ((11, 1), ()), ((12, 2), ())]","[((7, 2), ()), ((8, 2), ()), ((6, 2), ()), ((10, 4), ()), ((9, 4), ()), ((9, 3), ()), ((7, 4), ()), ((12, 4), ()), ((8, 4), ()), ((11, 2), ()), ((6, 4), ()), ((5, 2), ()), ((11, 4), ()), ((5, 1), ()), ((11, 3), ()), ((9, 2), ())]",11,38,49
17,"((13, 4), ())","((12, 4), ())",East,"[(((13, 5), ()), 'North', 1)]","[((13, 4), ()), ((5, 4), ()), ((11, 1), ()), ((12, 2), ())]","[((5, 4), ()), ((12, 2), ()), ((11, 1), ()), ((13, 5), ())]","[((7, 2), ()), ((8, 2), ()), ((6, 2), ()), ((10, 4), ()), ((9, 4), ()), ((9, 3), ()), ((7, 4), ()), ((12, 4), ()), ((8, 4), ()), ((11, 2), ()), ((6, 4), ()), ((5, 2), ()), ((13, 4), ()), ((11, 4), ()), ((5, 1), ()), ((11, 3), ()), ((9, 2), ())]",11,38,49
18,"((5, 4), ())","((6, 4), ())",West,"[(((5, 5), ()), 'North', 1), (((4, 4), ()), 'West', 1)]","[((5, 4), ()), ((12, 2), ()), ((11, 1), ()), ((13, 5), ())]","[((11, 1), ()), ((12, 2), ()), ((13, 5), ()), ((5, 5), ()), ((4, 4), ())]","[((7, 2), ()), ((8, 2), ()), ((6, 2), ()), ((10, 4), ()), ((9, 4), ()), ((9, 3), ()), ((7, 4), ()), ((12, 4), ()), ((8, 4), ()), ((11, 2), ()), ((6, 4), ()), ((5, 2), ()), ((13, 4), ()), ((11, 4), ()), ((5, 1), ()), ((11, 3), ()), ((5, 4), ()), ((9, 2), ())]",11,38,49
19,"((11, 1), ())","((11, 2), ())",South,"[(((12, 1), ()), 'East', 1)]","[((11, 1), ()), ((12, 2), ()), ((13, 5), ()), ((5, 5), ()), ((4, 4), ())]","[((12, 2), ()), ((5, 5), ()), ((13, 5), ()), ((4, 4), ()), ((12, 1), ())]","[((6, 2), ()), ((9, 4), ()), ((6, 4), ()), ((9, 2), ()), ((11, 4), ()), ((8, 2), ()), ((10, 4), ()), ((8, 4), ()), ((11, 2), ()), ((5, 4), ()), ((7, 2), ()), ((11, 1), ()), ((9, 3), ()), ((7, 4), ()), ((12, 4), ()), ((5, 2), ()), ((11, 3), ()), ((5, 1), ()), ((13, 4), ())]",12,38,50
20,"((12, 2), ())","((11, 2), ())",East,"[(((12, 1), ()), 'South', 1), (((13, 2), ()), 'East', 1)]","[((12, 2), ()), ((5, 5), ()), ((13, 5), ()), ((4, 4), ()), ((12, 1), ())]","[((13, 5), ()), ((5, 5), ()), ((12, 1), ()), ((4, 4), ()), ((12, 1), ()), ((13, 2), ())]","[((6, 2), ()), ((9, 4), ()), ((6, 4), ()), ((9, 2), ()), ((11, 4), ()), ((8, 2), ()), ((10, 4), ()), ((8, 4), ()), ((11, 2), ()), ((5, 4), ()), ((7, 2), ()), ((12, 2), ()), ((11, 1), ()), ((9, 3), ()), ((7, 4), ()), ((12, 4), ()), ((5, 2), ()), ((11, 3), ()), ((5, 1), ()), ((13, 4), ())]",12,38,50
21,"((13, 5), ())","((13, 4), ())",North,"[(((13, 6), ()), 'North', 1)]","[((13, 5), ()), ((5, 5), ()), ((12, 1), ()), ((4, 4), ()), ((12, 1), ()), ((13, 2), ())]","[((5, 5), ()), ((4, 4), ()), ((12, 1), ()), ((13, 2), ()), ((12, 1), ()), ((13, 6), ())]","[((6, 2), ()), ((9, 4), ()), ((6, 4), ()), ((9, 2), ()), ((11, 4), ()), ((8, 2), ()), ((10, 4), ()), ((13, 5), ()), ((8, 4), ()), ((11, 2), ()), ((5, 4), ()), ((7, 2), ()), ((12, 2), ()), ((11, 1), ()), ((9, 3), ()), ((7, 4), ()), ((12, 4), ()), ((5, 2), ()), ((11, 3), ()), ((5, 1), ()), ((13, 4), ())]",12,38,50
22,"((5, 5), ())","((5, 4), ())",North,"[(((5, 6), ()), 'North', 1)]","[((5, 5), ()), ((4, 4), ()), ((12, 1), ()), ((13, 2), ()), ((12, 1), ()), ((13, 6), ())]","[((4, 4), ()), ((12, 1), ()), ((12, 1), ()), ((13, 2), ()), ((13, 6), ()), ((5, 6), ())]","[((6, 2), ()), ((9, 4), ()), ((6, 4), ()), ((9, 2), ()), ((11, 4), ()), ((8, 2), ()), ((10, 4), ()), ((13, 5), ()), ((8, 4), ()), ((11, 2), ()), ((5, 5), ()), ((5, 4), ()), ((7, 2), ()), ((12, 2), ()), ((11, 1), ()), ((9, 3), ()), ((7, 4), ()), ((12, 4), ()), ((5, 2), ()), ((11, 3), ()), ((5, 1), ()), ((13, 4), ())]",12,38,50
23,"((4, 4), ())","((5, 4), ())",West,"[(((3, 4), ()), 'West', 1)]","[((4, 4), ()), ((12, 1), ()), ((12, 1), ()), ((13, 2), ()), ((13, 6), ()), ((5, 6), ())]","[((12, 1), ()), ((12, 1), ()), ((5, 6), ()), ((13, 2), ()), ((13, 6), ()), ((3, 4), ())]","[((6, 2), ()), ((9, 4), ()), ((4, 4), ()), ((6, 4), ()), ((9, 2), ()), ((11, 4), ()), ((8, 2), ()), ((10, 4), ()), ((13, 5), ()), ((8, 4), ()), ((11, 2), ()), ((5, 5), ()), ((5, 4), ()), ((7, 2), ()), ((12, 2), ()), ((11, 1), ()), ((9, 3), ()), ((7, 4), ()), ((12, 4), ()), ((5, 2), ()), ((11, 3), ()), ((5, 1), ()), ((13, 4), ())]",12,38,50
24,"((12, 1), ())","((11, 1), ())",East,"[(((13, 1), ()), 'East', 1)]","[((12, 1), ()), ((12, 1), ()), ((5, 6), ()), ((13, 2), ()), ((13, 6), ()), ((3, 4), ())]","[((12, 1), ()), ((13, 2), ()), ((5, 6), ()), ((3, 4), ()), ((13, 6), ()), ((13, 1), ())]","[((6, 2), ()), ((9, 4), ()), ((4, 4), ()), ((6, 4), ()), ((9, 2), ()), ((12, 1), ()), ((11, 4), ()), ((8, 2), ()), ((10, 4), ()), ((13, 5), ()), ((8, 4), ()), ((11, 2), ()), ((5, 5), ()), ((5, 4), ()), ((7, 2), ()), ((12, 2), ()), ((11, 1), ()), ((9, 3), ()), ((7, 4), ()), ((12, 4), ()), ((5, 2), ()), ((11, 3), ()), ((5, 1), ()), ((13, 4), ())]",13,38,51
25,"((13, 2), ())","((12, 2), ())",East,"[(((13, 1), ()), 'South', 1), (((14, 2), ()), 'East', 1)]","[((13, 2), ()), ((13, 6), ()), ((5, 6), ()), ((3, 4), ()), ((13, 1), ())]","[((13, 6), ()), ((3, 4), ()), ((5, 6), ()), ((13, 1), ()), ((13, 1), ()), ((14, 2), ())]","[((6, 2), ()), ((9, 4), ()), ((4, 4), ()), ((6, 4), ()), ((9, 2), ()), ((12, 1), ()), ((13, 2), ()), ((11, 4), ()), ((8, 2), ()), ((10, 4), ()), ((13, 5), ()), ((8, 4), ()), ((11, 2), ()), ((5, 5), ()), ((5, 4), ()), ((7, 2), ()), ((12, 2), ()), ((11, 1), ()), ((9, 3), ()), ((7, 4), ()), ((12, 4), ()), ((5, 2), ()), ((11, 3), ()), ((5, 1), ()), ((13, 4), ())]",13,38,51
26,"((13, 6), ())","((13, 5), ())",North,"[(((12, 6), ()), 'West', 1)]","[((13, 6), ()), ((3, 4), ()), ((5, 6), ()), ((13, 1), ()), ((13, 1), ()), ((14, 2), ())]","[((5, 6), ()), ((3, 4), ()), ((14, 2), ()), ((13, 1), ()), ((13, 1), ()), ((12, 6), ())]","[((6, 2), ()), ((9, 4), ()), ((4, 4), ()), ((6, 4), ()), ((9, 2), ()), ((12, 1), ()), ((13, 2), ()), ((11, 4), ()), ((8, 2), ()), ((10, 4), ()), ((13, 5), ()), ((8, 4), ()), ((11, 2), ()), ((5, 5), ()), ((5, 4), ()), ((7, 2), ()), ((12, 2), ()), ((11, 1), ()), ((9, 3), ()), ((13, 6), ()), ((7, 4), ()), ((12, 4), ()), ((5, 2), ()), ((11, 3), ()), ((5, 1), ()), ((13, 4), ())]",13,38,51
27,"((5, 6), ())","((5, 5), ())",North,"[(((5, 7), ()), 'North', 1), (((6, 6), ()), 'East', 1), (((4, 6), ()), 'West', 1)]","[((5, 6), ()), ((3, 4), ()), ((14, 2), ()), ((13, 1), ()), ((13, 1), ()), ((12, 6), ())]","[((3, 4), ()), ((13, 1), ()), ((14, 2), ()), ((12, 6), ()), ((13, 1), ()), ((5, 7), ()), ((6, 6), ()), ((4, 6), ())]","[((6, 2), ()), ((9, 4), ()), ((4, 4), ()), ((6, 4), ()), ((9, 2), ()), ((12, 1), ()), ((13, 2), ()), ((11, 4), ()), ((8, 2), ()), ((10, 4), ()), ((13, 5), ()), ((8, 4), ()), ((11, 2), ()), ((5, 5), ()), ((5, 4), ()), ((7, 2), ()), ((12, 2), ()), ((5, 6), ()), ((11, 1), ()), ((9, 3), ()), ((13, 6), ()), ((7, 4), ()), ((12, 4), ()), ((5, 2), ()), ((11, 3), ()), ((5, 1), ()), ((13, 4), ())]",13,38,51
28,"((3, 4), ())","((4, 4), ())",West,"[(((3, 5), ()), 'North', 1), (((3, 3), ()), 'South', 1)]","[((3, 4), ()), ((13, 1), ()), ((14, 2), ()), ((12, 6), ()), ((13, 1), ()), ((5, 7), ()), ((6, 6), ()), ((4, 6), ())]","[((13, 1), ()), ((13, 1), ()), ((14, 2), ()), ((12, 6), ()), ((4, 6), ()), ((5, 7), ()), ((6, 6), ()), ((3, 5), ()), ((3, 3), ())]","[((6, 2), ()), ((9, 4), ()), ((4, 4), ()), ((6, 4), ()), ((9, 2), ()), ((12, 1), ()), ((13, 2), ()), ((11, 4), ()), ((8, 2), ()), ((10, 4), ()), ((13, 5), ()), ((8, 4), ()), ((11, 2), ()), ((3, 4), ()), ((5, 5), ()), ((5, 4), ()), ((7, 2), ()), ((12, 2), ()), ((5, 6), ()), ((11, 1), ()), ((9, 3), ()), ((13, 6), ()), ((7, 4), ()), ((12, 4), ()), ((5, 2), ()), ((11, 3), ()), ((5, 1), ()), ((13, 4), ())]",13,38,51
