iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
22,"(21, 9)","(21, 10)",South,"[((21, 8), 'South', 1)]","['(21, 9)', '(13, 5)']","['(13, 5)', '(21, 8)']","[(21, 10), (21, 13), (17, 9), (17, 6), (17, 12), (15, 5), (21, 9), (20, 13), (18, 13), (21, 12), (17, 5), (17, 11), (17, 8), (19, 11), (21, 11), (14, 5), (17, 7), (17, 10), (17, 13), (19, 13), (16, 5), (18, 11)]",10,0,10
23,"(13, 5)","(14, 5)",West,"[((13, 6), 'North', 1)]","['(13, 5)', '(21, 8)']","['(21, 8)', '(13, 6)']","[(21, 10), (21, 13), (17, 9), (17, 6), (17, 12), (13, 5), (15, 5), (21, 9), (20, 13), (18, 13), (21, 12), (17, 5), (17, 11), (17, 8), (19, 11), (21, 11), (14, 5), (17, 7), (17, 10), (17, 13), (19, 13), (16, 5), (18, 11)]",10,0,10
24,"(21, 8)","(21, 9)",South,"[((21, 7), 'South', 1)]","['(21, 8)', '(13, 6)']","['(13, 6)', '(21, 7)']","[(21, 10), (21, 13), (17, 9), (17, 6), (17, 12), (13, 5), (15, 5), (21, 9), (20, 13), (18, 13), (21, 12), (17, 5), (17, 11), (17, 8), (19, 11), (21, 8), (21, 11), (14, 5), (17, 7), (17, 10), (17, 13), (19, 13), (16, 5), (18, 11)]",11,0,11
25,"(13, 6)","(13, 5)",North,"[((13, 7), 'North', 1)]","['(13, 6)', '(21, 7)']","['(21, 7)', '(13, 7)']","[(21, 10), (21, 13), (17, 9), (17, 6), (17, 12), (13, 5), (15, 5), (21, 9), (20, 13), (18, 13), (21, 12), (17, 5), (17, 11), (17, 8), (19, 11), (21, 8), (21, 11), (14, 5), (17, 7), (17, 10), (17, 13), (19, 13), (16, 5), (13, 6), (18, 11)]",11,0,11
26,"(21, 7)","(21, 8)",South,"[((21, 6), 'South', 1), ((22, 7), 'East', 1)]","['(21, 7)', '(13, 7)']","['(13, 7)', '(21, 6)', '(22, 7)']","[(21, 10), (21, 13), (17, 9), (17, 6), (17, 12), (13, 5), (15, 5), (21, 9), (20, 13), (18, 13), (21, 12), (17, 5), (17, 11), (17, 8), (19, 11), (21, 8), (21, 11), (14, 5), (17, 7), (17, 10), (17, 13), (19, 13), (16, 5), (13, 6), (18, 11), (21, 7)]",12,0,12
27,"(13, 7)","(13, 6)",North,"[((13, 8), 'North', 1)]","['(13, 7)', '(21, 6)', '(22, 7)']","['(21, 6)', '(22, 7)', '(13, 8)']","[(21, 10), (21, 13), (17, 9), (17, 6), (17, 12), (13, 5), (15, 5), (21, 9), (20, 13), (18, 13), (21, 12), (17, 5), (17, 11), (17, 8), (19, 11), (13, 7), (21, 8), (21, 11), (14, 5), (17, 7), (17, 10), (17, 13), (19, 13), (16, 5), (13, 6), (18, 11), (21, 7)]",12,0,12
28,"(21, 6)","(21, 7)",South,"[((21, 5), 'South', 1)]","['(21, 6)', '(22, 7)', '(13, 8)']","['(22, 7)', '(13, 8)', '(21, 5)']","[(21, 10), (21, 13), (17, 9), (17, 6), (17, 12), (13, 5), (15, 5), (21, 9), (20, 13), (18, 13), (21, 12), (21, 6), (17, 5), (17, 11), (17, 8), (19, 11), (13, 7), (21, 8), (21, 11), (14, 5), (17, 7), (17, 10), (17, 13), (19, 13), (16, 5), (13, 6), (18, 11), (21, 7)]",13,0,13
29,"(22, 7)","(21, 7)",East,"[((23, 7), 'East', 1)]","['(22, 7)', '(13, 8)', '(21, 5)']","['(13, 8)', '(21, 5)', '(23, 7)']","[(21, 10), (21, 13), (17, 9), (17, 6), (17, 12), (13, 5), (15, 5), (21, 9), (20, 13), (18, 13), (21, 12), (21, 6), (22, 7), (17, 5), (17, 11), (17, 8), (19, 11), (13, 7), (21, 8), (21, 11), (14, 5), (17, 7), (17, 10), (17, 13), (19, 13), (16, 5), (13, 6), (18, 11), (21, 7)]",13,0,13
30,"(13, 8)","(13, 7)",North,"[((13, 9), 'North', 1)]","['(13, 8)', '(21, 5)', '(23, 7)']","['(21, 5)', '(23, 7)', '(13, 9)']","[(21, 10), (21, 13), (17, 9), (17, 6), (17, 12), (13, 5), (13, 8), (15, 5), (21, 9), (20, 13), (18, 13), (21, 12), (21, 6), (22, 7), (17, 5), (17, 11), (17, 8), (19, 11), (13, 7), (21, 8), (21, 11), (14, 5), (17, 7), (17, 10), (17, 13), (19, 13), (16, 5), (13, 6), (18, 11), (21, 7)]",13,0,13
31,"(21, 5)","(21, 6)",South,"[((22, 5), 'East', 1)]","['(21, 5)', '(23, 7)', '(13, 9)']","['(23, 7)', '(13, 9)', '(22, 5)']","[(21, 10), (21, 13), (17, 9), (17, 6), (17, 12), (13, 5), (13, 8), (15, 5), (21, 9), (20, 13), (18, 13), (21, 12), (21, 6), (22, 7), (17, 5), (17, 11), (17, 8), (19, 11), (13, 7), (21, 5), (21, 8), (21, 11), (14, 5), (17, 7), (17, 10), (17, 13), (19, 13), (16, 5), (13, 6), (18, 11), (21, 7)]",14,0,14
32,"(23, 7)","(22, 7)",East,[],"['(23, 7)', '(13, 9)', '(22, 5)']","['(13, 9)', '(22, 5)']","[(21, 10), (23, 7), (21, 13), (17, 9), (17, 6), (17, 12), (13, 5), (13, 8), (15, 5), (21, 9), (20, 13), (18, 13), (21, 12), (21, 6), (22, 7), (17, 5), (17, 11), (17, 8), (19, 11), (13, 7), (21, 5), (21, 8), (21, 11), (14, 5), (17, 7), (17, 10), (17, 13), (19, 13), (16, 5), (13, 6), (18, 11), (21, 7)]",14,0,14
