iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
16,"(5, 14)","(5, 15)",South,"[((6, 14), 'East', 1)]","['(5, 14)', '(6, 15)', '(3, 11)', '(5, 13)']","['(6, 15)', '(5, 13)', '(3, 11)', '(6, 14)']","[(2, 14), (1, 12), (5, 15), (3, 14), (1, 15), (4, 13), (5, 14), (1, 14), (2, 13), (4, 15), (3, 13), (1, 13), (2, 12), (3, 12), (2, 15), (3, 15)]",5,0,5
17,"(6, 15)","(5, 15)",East,"[((7, 15), 'East', 1)]","['(6, 15)', '(5, 13)', '(3, 11)', '(6, 14)']","['(3, 11)', '(5, 13)', '(6, 14)', '(7, 15)']","[(2, 14), (1, 12), (5, 15), (3, 14), (6, 15), (1, 15), (4, 13), (5, 14), (1, 14), (2, 13), (4, 15), (3, 13), (1, 13), (2, 12), (3, 12), (2, 15), (3, 15)]",5,0,5
18,"(3, 11)","(3, 12)",South,"[((3, 10), 'South', 1)]","['(3, 11)', '(5, 13)', '(6, 14)', '(7, 15)']","['(5, 13)', '(7, 15)', '(6, 14)', '(3, 10)']","[(2, 14), (1, 12), (5, 15), (3, 14), (6, 15), (1, 15), (4, 13), (5, 14), (1, 14), (2, 13), (4, 15), (3, 13), (1, 13), (2, 12), (3, 12), (2, 15), (3, 15), (3, 11)]",6,0,6
19,"(5, 13)","(4, 13)",East,"[((5, 12), 'South', 1), ((6, 13), 'East', 1)]","['(5, 13)', '(7, 15)', '(6, 14)', '(3, 10)']","['(6, 14)', '(7, 15)', '(3, 10)', '(5, 12)', '(6, 13)']","[(6, 15), (5, 13), (4, 15), (3, 13), (2, 14), (1, 12), (1, 15), (3, 12), (3, 15), (5, 15), (1, 14), (2, 13), (3, 11), (3, 14), (4, 13), (5, 14), (1, 13), (2, 12), (2, 15)]",6,0,6
20,"(6, 14)","(5, 14)",East,"[((7, 14), 'East', 1)]","['(6, 14)', '(7, 15)', '(3, 10)', '(5, 12)', '(6, 13)']","['(7, 15)', '(5, 12)', '(3, 10)', '(6, 13)', '(7, 14)']","[(6, 15), (5, 13), (4, 15), (3, 13), (2, 14), (1, 12), (1, 15), (6, 14), (3, 12), (3, 15), (5, 15), (1, 14), (2, 13), (3, 11), (3, 14), (4, 13), (5, 14), (1, 13), (2, 12), (2, 15)]",6,0,6
21,"(7, 15)","(6, 15)",East,"[((8, 15), 'East', 1)]","['(7, 15)', '(5, 12)', '(3, 10)', '(6, 13)', '(7, 14)']","['(3, 10)', '(5, 12)', '(7, 14)', '(6, 13)', '(8, 15)']","[(6, 15), (5, 13), (4, 15), (3, 13), (2, 14), (1, 12), (1, 15), (6, 14), (3, 12), (3, 15), (5, 15), (1, 14), (2, 13), (7, 15), (3, 11), (3, 14), (4, 13), (5, 14), (1, 13), (2, 12), (2, 15)]",6,0,6
22,"(3, 10)","(3, 11)",South,"[((3, 9), 'South', 1), ((2, 10), 'West', 1)]","['(3, 10)', '(5, 12)', '(7, 14)', '(6, 13)', '(8, 15)']","['(5, 12)', '(6, 13)', '(7, 14)', '(8, 15)', '(3, 9)', '(2, 10)']","[(6, 15), (3, 10), (5, 13), (4, 15), (3, 13), (2, 14), (1, 12), (1, 15), (6, 14), (3, 12), (3, 15), (5, 15), (1, 14), (2, 13), (7, 15), (3, 11), (3, 14), (4, 13), (5, 14), (1, 13), (2, 12), (2, 15)]",7,0,7
23,"(5, 12)","(5, 13)",South,"[((6, 12), 'East', 1)]","['(5, 12)', '(6, 13)', '(7, 14)', '(8, 15)', '(3, 9)', '(2, 10)']","['(6, 13)', '(8, 15)', '(7, 14)', '(2, 10)', '(3, 9)', '(6, 12)']","[(6, 15), (3, 10), (5, 13), (4, 15), (3, 13), (2, 14), (1, 12), (1, 15), (6, 14), (3, 12), (3, 15), (5, 12), (5, 15), (1, 14), (2, 13), (7, 15), (3, 11), (3, 14), (4, 13), (5, 14), (1, 13), (2, 12), (2, 15)]",7,0,7
24,"(6, 13)","(5, 13)",East,"[((7, 13), 'East', 1)]","['(6, 13)', '(8, 15)', '(7, 14)', '(2, 10)', '(3, 9)', '(6, 12)']","['(7, 14)', '(8, 15)', '(6, 12)', '(2, 10)', '(3, 9)', '(7, 13)']","[(6, 15), (3, 10), (5, 13), (4, 15), (3, 13), (2, 14), (1, 12), (1, 15), (6, 14), (3, 12), (3, 15), (5, 12), (5, 15), (1, 14), (2, 13), (6, 13), (7, 15), (3, 11), (3, 14), (4, 13), (5, 14), (1, 13), (2, 12), (2, 15)]",7,0,7
25,"(7, 14)","(6, 14)",East,[],"['(7, 14)', '(8, 15)', '(6, 12)', '(2, 10)', '(3, 9)', '(7, 13)']","['(8, 15)', '(3, 9)', '(6, 12)', '(2, 10)', '(7, 13)']","[(6, 15), (3, 10), (5, 13), (4, 15), (3, 13), (2, 14), (1, 12), (1, 15), (6, 14), (3, 12), (3, 15), (5, 12), (5, 15), (1, 14), (2, 13), (6, 13), (7, 15), (3, 11), (3, 14), (4, 13), (5, 14), (1, 13), (2, 12), (2, 15), (7, 14)]",7,0,7
