iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
20,"(25, 6)","(25, 5)",North,"[((25, 7), 'North', 1)]","['(25, 6)', '(22, 7)', '(17, 10)', '(18, 11)']","['(25, 7)', '(22, 7)', '(17, 10)', '(18, 11)']","[(21, 10), (22, 5), (21, 13), (17, 12), (24, 5), (21, 9), (20, 13), (18, 13), (21, 12), (21, 6), (17, 11), (25, 6), (21, 5), (21, 8), (23, 5), (21, 11), (17, 13), (19, 13), (25, 5), (21, 7)]",19,0,19
21,"(25, 7)","(25, 6)",North,"[((25, 8), 'North', 1)]","['(25, 7)', '(22, 7)', '(17, 10)', '(18, 11)']","['(25, 8)', '(22, 7)', '(17, 10)', '(18, 11)']","[(21, 10), (22, 5), (21, 13), (17, 12), (25, 7), (24, 5), (21, 9), (20, 13), (18, 13), (21, 12), (21, 6), (17, 11), (25, 6), (21, 5), (21, 8), (23, 5), (21, 11), (17, 13), (19, 13), (25, 5), (21, 7)]",20,0,20
22,"(25, 8)","(25, 7)",North,"[((25, 9), 'North', 1)]","['(25, 8)', '(22, 7)', '(17, 10)', '(18, 11)']","['(25, 9)', '(22, 7)', '(17, 10)', '(18, 11)']","[(21, 10), (22, 5), (21, 13), (17, 12), (25, 7), (24, 5), (21, 9), (20, 13), (18, 13), (21, 12), (21, 6), (17, 11), (25, 6), (21, 5), (21, 8), (23, 5), (21, 11), (17, 13), (19, 13), (25, 5), (25, 8), (21, 7)]",21,0,21
23,"(25, 9)","(25, 8)",North,"[((25, 10), 'North', 1)]","['(25, 9)', '(22, 7)', '(17, 10)', '(18, 11)']","['(25, 10)', '(22, 7)', '(17, 10)', '(18, 11)']","[(21, 10), (22, 5), (21, 13), (17, 12), (25, 7), (24, 5), (21, 9), (20, 13), (18, 13), (21, 12), (21, 6), (17, 11), (25, 9), (25, 6), (21, 5), (21, 8), (23, 5), (21, 11), (17, 13), (19, 13), (25, 5), (25, 8), (21, 7)]",22,0,22
24,"(25, 10)","(25, 9)",North,"[((25, 11), 'North', 1)]","['(25, 10)', '(22, 7)', '(17, 10)', '(18, 11)']","['(25, 11)', '(22, 7)', '(17, 10)', '(18, 11)']","[(21, 10), (22, 5), (21, 13), (17, 12), (25, 7), (24, 5), (25, 10), (21, 9), (20, 13), (18, 13), (21, 12), (21, 6), (17, 11), (25, 9), (25, 6), (21, 5), (21, 8), (23, 5), (21, 11), (17, 13), (19, 13), (25, 5), (25, 8), (21, 7)]",23,0,23
25,"(25, 11)","(25, 10)",North,"[((25, 12), 'North', 1), ((24, 11), 'West', 1)]","['(25, 11)', '(22, 7)', '(17, 10)', '(18, 11)']","['(25, 12)', '(24, 11)', '(22, 7)', '(17, 10)', '(18, 11)']","[(21, 10), (22, 5), (21, 13), (17, 12), (25, 7), (24, 5), (25, 10), (21, 9), (20, 13), (18, 13), (21, 12), (21, 6), (17, 11), (25, 9), (25, 6), (21, 5), (21, 8), (23, 5), (21, 11), (17, 13), (19, 13), (25, 5), (25, 8), (25, 11), (21, 7)]",24,0,24
26,"(25, 12)","(25, 11)",North,"[((25, 13), 'North', 1)]","['(25, 12)', '(24, 11)', '(22, 7)', '(17, 10)', '(18, 11)']","['(25, 13)', '(24, 11)', '(22, 7)', '(17, 10)', '(18, 11)']","[(21, 10), (22, 5), (21, 13), (17, 12), (25, 7), (24, 5), (25, 10), (21, 9), (20, 13), (18, 13), (21, 12), (21, 6), (17, 11), (25, 9), (25, 6), (25, 12), (21, 5), (21, 8), (23, 5), (21, 11), (17, 13), (19, 13), (25, 5), (25, 8), (25, 11), (21, 7)]",25,0,25
27,"(25, 13)","(25, 12)",North,"[((26, 13), 'East', 1)]","['(25, 13)', '(24, 11)', '(22, 7)', '(17, 10)', '(18, 11)']","['(26, 13)', '(24, 11)', '(22, 7)', '(17, 10)', '(18, 11)']","[(21, 10), (22, 5), (21, 13), (17, 12), (25, 7), (24, 5), (25, 10), (25, 13), (21, 9), (20, 13), (18, 13), (21, 12), (21, 6), (17, 11), (25, 9), (25, 6), (25, 12), (21, 5), (21, 8), (23, 5), (21, 11), (17, 13), (19, 13), (25, 5), (25, 8), (25, 11), (21, 7)]",26,0,26
28,"(26, 13)","(25, 13)",East,"[((27, 13), 'East', 1)]","['(26, 13)', '(24, 11)', '(22, 7)', '(17, 10)', '(18, 11)']","['(27, 13)', '(24, 11)', '(22, 7)', '(17, 10)', '(18, 11)']","[(21, 10), (22, 5), (21, 13), (17, 12), (25, 7), (24, 5), (25, 10), (25, 13), (21, 9), (20, 13), (18, 13), (21, 12), (21, 6), (17, 11), (25, 9), (25, 6), (25, 12), (26, 13), (21, 5), (21, 8), (23, 5), (21, 11), (17, 13), (19, 13), (25, 5), (25, 8), (25, 11), (21, 7)]",27,0,27
29,"(27, 13)","(26, 13)",East,"[((27, 12), 'South', 1)]","['(27, 13)', '(24, 11)', '(22, 7)', '(17, 10)', '(18, 11)']","['(27, 12)', '(24, 11)', '(22, 7)', '(17, 10)', '(18, 11)']","[(21, 10), (22, 5), (21, 13), (27, 13), (17, 12), (25, 7), (24, 5), (25, 10), (25, 13), (21, 9), (20, 13), (18, 13), (21, 12), (21, 6), (17, 11), (25, 9), (25, 6), (25, 12), (26, 13), (21, 5), (21, 8), (23, 5), (21, 11), (17, 13), (19, 13), (25, 5), (25, 8), (25, 11), (21, 7)]",28,0,28
