iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
22,"(16, 13)","(15, 13)",East,"[((17, 13), 'East', 1)]","[(16, 13), (14, 10), (9, 9)]","[(14, 10), (9, 9), (17, 13)]","[(12, 13), (14, 13), (9, 11), (13, 11), (11, 11), (16, 13), (7, 10), (7, 13), (9, 10), (10, 11), (9, 13), (11, 13), (15, 13), (13, 13), (7, 9), (7, 12), (12, 11), (14, 11), (10, 13), (8, 13), (11, 12), (7, 11)]",13,0,13
23,"(14, 10)","(14, 11)",South,"[((14, 9), 'South', 1)]","[(14, 10), (9, 9), (17, 13)]","[(9, 9), (17, 13), (14, 9)]","[(12, 13), (14, 10), (14, 13), (9, 11), (13, 11), (11, 11), (16, 13), (7, 10), (7, 13), (9, 10), (10, 11), (9, 13), (11, 13), (15, 13), (13, 13), (7, 9), (7, 12), (12, 11), (14, 11), (10, 13), (8, 13), (11, 12), (7, 11)]",14,0,14
24,"(9, 9)","(9, 10)",South,"[((9, 8), 'South', 1)]","[(9, 9), (17, 13), (14, 9)]","[(17, 13), (14, 9), (9, 8)]","[(12, 13), (14, 10), (14, 13), (9, 11), (13, 11), (11, 11), (16, 13), (7, 10), (7, 13), (9, 10), (10, 11), (9, 13), (11, 13), (15, 13), (13, 13), (7, 9), (7, 12), (12, 11), (14, 11), (9, 9), (10, 13), (8, 13), (11, 12), (7, 11)]",14,0,14
25,"(17, 13)","(16, 13)",East,"[((18, 13), 'East', 1)]","[(17, 13), (14, 9), (9, 8)]","[(14, 9), (9, 8), (18, 13)]","[(12, 13), (14, 10), (14, 13), (9, 11), (13, 11), (11, 11), (16, 13), (7, 10), (7, 13), (9, 10), (10, 11), (9, 13), (11, 13), (15, 13), (13, 13), (7, 9), (7, 12), (12, 11), (14, 11), (9, 9), (17, 13), (10, 13), (8, 13), (11, 12), (7, 11)]",14,0,14
26,"(14, 9)","(14, 10)",South,"[((15, 9), 'East', 1), ((13, 9), 'West', 1)]","[(14, 9), (9, 8), (18, 13)]","[(9, 8), (18, 13), (15, 9), (13, 9)]","[(12, 13), (14, 10), (14, 13), (9, 11), (13, 11), (11, 11), (16, 13), (7, 10), (7, 13), (14, 9), (9, 10), (10, 11), (9, 13), (11, 13), (15, 13), (13, 13), (7, 9), (7, 12), (12, 11), (14, 11), (9, 9), (17, 13), (10, 13), (8, 13), (11, 12), (7, 11)]",15,0,15
27,"(9, 8)","(9, 9)",South,"[((9, 7), 'South', 1)]","[(9, 8), (18, 13), (15, 9), (13, 9)]","[(18, 13), (15, 9), (13, 9), (9, 7)]","[(12, 13), (14, 10), (14, 13), (9, 8), (9, 11), (13, 11), (11, 11), (16, 13), (7, 10), (7, 13), (14, 9), (9, 10), (10, 11), (9, 13), (11, 13), (15, 13), (13, 13), (7, 9), (7, 12), (12, 11), (14, 11), (9, 9), (17, 13), (10, 13), (8, 13), (11, 12), (7, 11)]",15,0,15
28,"(18, 13)","(17, 13)",East,"[((19, 13), 'East', 1)]","[(18, 13), (15, 9), (13, 9), (9, 7)]","[(15, 9), (13, 9), (9, 7), (19, 13)]","[(12, 13), (14, 10), (14, 13), (9, 8), (9, 11), (13, 11), (11, 11), (16, 13), (7, 10), (7, 13), (18, 13), (14, 9), (9, 10), (10, 11), (9, 13), (11, 13), (15, 13), (13, 13), (7, 9), (7, 12), (12, 11), (14, 11), (9, 9), (17, 13), (10, 13), (8, 13), (11, 12), (7, 11)]",15,0,15
29,"(15, 9)","(14, 9)",East,"[((15, 8), 'South', 1), ((16, 9), 'East', 1)]","[(15, 9), (13, 9), (9, 7), (19, 13)]","[(13, 9), (9, 7), (19, 13), (15, 8), (16, 9)]","[(12, 13), (14, 10), (14, 13), (9, 8), (9, 11), (13, 11), (11, 11), (16, 13), (7, 10), (7, 13), (18, 13), (14, 9), (9, 10), (10, 11), (9, 13), (11, 13), (15, 13), (13, 13), (7, 9), (7, 12), (12, 11), (14, 11), (9, 9), (17, 13), (10, 13), (8, 13), (11, 12), (15, 9), (7, 11)]",16,0,16
30,"(13, 9)","(14, 9)",West,"[((12, 9), 'West', 1)]","[(13, 9), (9, 7), (19, 13), (15, 8), (16, 9)]","[(9, 7), (19, 13), (15, 8), (16, 9), (12, 9)]","[(12, 13), (14, 10), (14, 13), (9, 8), (9, 11), (13, 11), (11, 11), (16, 13), (7, 10), (7, 13), (18, 13), (14, 9), (9, 10), (10, 11), (9, 13), (11, 13), (15, 13), (13, 13), (7, 9), (7, 12), (12, 11), (14, 11), (9, 9), (17, 13), (10, 13), (8, 13), (11, 12), (13, 9), (15, 9), (7, 11)]",16,0,16
31,"(9, 7)","(9, 8)",South,"[((10, 7), 'East', 1), ((8, 7), 'West', 1)]","[(9, 7), (19, 13), (15, 8), (16, 9), (12, 9)]","[(19, 13), (15, 8), (16, 9), (12, 9), (10, 7), (8, 7)]","[(12, 13), (14, 10), (14, 13), (9, 8), (9, 11), (13, 11), (11, 11), (16, 13), (7, 10), (7, 13), (18, 13), (14, 9), (9, 7), (9, 10), (10, 11), (9, 13), (11, 13), (15, 13), (13, 13), (7, 9), (7, 12), (12, 11), (14, 11), (9, 9), (17, 13), (10, 13), (8, 13), (11, 12), (13, 9), (15, 9), (7, 11)]",16,0,16
