iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
22,"(15, 1)","(16, 1)",West,"[((14, 1), 'West', 1)]","[(15, 1), (16, 2), (10, 6)]","[(10, 6), (16, 2), (14, 1)]","[(17, 9), (10, 9), (16, 1), (18, 4), (18, 1), (18, 7), (12, 9), (14, 9), (10, 8), (16, 9), (15, 1), (18, 3), (18, 9), (18, 6), (17, 1), (11, 9), (10, 7), (13, 9), (18, 2), (15, 9), (18, 5), (18, 8)]",11,14,25
23,"(10, 6)","(10, 7)",South,"[((10, 5), 'South', 1)]","[(10, 6), (16, 2), (14, 1)]","[(14, 1), (16, 2), (10, 5)]","[(17, 9), (10, 6), (10, 9), (16, 1), (18, 4), (18, 1), (18, 7), (12, 9), (14, 9), (10, 8), (16, 9), (15, 1), (18, 3), (18, 9), (18, 6), (17, 1), (11, 9), (10, 7), (13, 9), (18, 2), (15, 9), (18, 5), (18, 8)]",11,14,25
24,"(14, 1)","(15, 1)",West,"[((14, 2), 'North', 1), ((13, 1), 'West', 1)]","[(14, 1), (16, 2), (10, 5)]","[(10, 5), (13, 1), (14, 2), (16, 2)]","[(14, 1), (17, 9), (10, 6), (10, 9), (16, 1), (18, 4), (18, 1), (18, 7), (12, 9), (14, 9), (10, 8), (16, 9), (15, 1), (18, 3), (18, 9), (18, 6), (17, 1), (11, 9), (10, 7), (13, 9), (18, 2), (15, 9), (18, 5), (18, 8)]",12,13,25
25,"(10, 5)","(10, 6)",South,"[((10, 4), 'South', 1)]","[(10, 5), (13, 1), (14, 2), (16, 2)]","[(13, 1), (10, 4), (14, 2), (16, 2)]","[(14, 1), (17, 9), (10, 6), (10, 9), (16, 1), (18, 4), (18, 1), (18, 7), (12, 9), (14, 9), (10, 5), (10, 8), (16, 9), (15, 1), (18, 3), (18, 9), (18, 6), (17, 1), (11, 9), (10, 7), (13, 9), (18, 2), (15, 9), (18, 5), (18, 8)]",12,13,25
26,"(13, 1)","(14, 1)",West,"[((12, 1), 'West', 1)]","[(13, 1), (10, 4), (14, 2), (16, 2)]","[(10, 4), (12, 1), (14, 2), (16, 2)]","[(14, 1), (17, 9), (10, 6), (10, 9), (16, 1), (18, 4), (18, 1), (18, 7), (12, 9), (14, 9), (10, 5), (10, 8), (13, 1), (16, 9), (15, 1), (18, 3), (18, 9), (18, 6), (17, 1), (11, 9), (10, 7), (13, 9), (18, 2), (15, 9), (18, 5), (18, 8)]",13,12,25
27,"(10, 4)","(10, 5)",South,"[((10, 3), 'South', 1)]","[(10, 4), (12, 1), (14, 2), (16, 2)]","[(12, 1), (10, 3), (14, 2), (16, 2)]","[(14, 1), (17, 9), (10, 6), (10, 9), (16, 1), (18, 4), (18, 1), (18, 7), (12, 9), (14, 9), (10, 5), (10, 8), (13, 1), (16, 9), (15, 1), (18, 3), (18, 9), (18, 6), (17, 1), (10, 4), (11, 9), (10, 7), (13, 9), (18, 2), (15, 9), (18, 5), (18, 8)]",13,12,25
28,"(12, 1)","(13, 1)",West,"[((12, 2), 'North', 1)]","[(12, 1), (10, 3), (14, 2), (16, 2)]","[(10, 3), (16, 2), (14, 2), (12, 2)]","[(12, 1), (14, 1), (17, 9), (10, 6), (10, 9), (16, 1), (18, 4), (18, 1), (18, 7), (12, 9), (14, 9), (10, 5), (10, 8), (13, 1), (16, 9), (15, 1), (18, 3), (18, 9), (18, 6), (17, 1), (10, 4), (11, 9), (10, 7), (13, 9), (18, 2), (15, 9), (18, 5), (18, 8)]",14,11,25
29,"(10, 3)","(10, 4)",South,"[((10, 2), 'South', 1), ((11, 3), 'East', 1)]","[(10, 3), (16, 2), (14, 2), (12, 2)]","[(10, 2), (16, 2), (14, 2), (12, 2), (11, 3)]","[(12, 1), (14, 1), (17, 9), (10, 6), (10, 3), (10, 9), (16, 1), (18, 4), (18, 1), (18, 7), (12, 9), (14, 9), (10, 5), (10, 8), (13, 1), (16, 9), (15, 1), (18, 3), (18, 9), (18, 6), (17, 1), (10, 4), (11, 9), (10, 7), (13, 9), (18, 2), (15, 9), (18, 5), (18, 8)]",14,11,25
30,"(10, 2)","(10, 3)",South,"[((10, 1), 'South', 1)]","[(10, 2), (16, 2), (14, 2), (12, 2), (11, 3)]","[(10, 1), (16, 2), (14, 2), (11, 3), (12, 2)]","[(12, 1), (14, 1), (17, 9), (10, 6), (10, 3), (10, 9), (16, 1), (18, 4), (18, 1), (18, 7), (12, 9), (14, 9), (10, 2), (10, 5), (10, 8), (13, 1), (16, 9), (15, 1), (18, 3), (18, 9), (18, 6), (17, 1), (10, 4), (11, 9), (10, 7), (13, 9), (18, 2), (15, 9), (18, 5), (18, 8)]",15,10,25
31,"(10, 1)","(10, 2)",South,"[((9, 1), 'West', 1)]","[(10, 1), (16, 2), (14, 2), (11, 3), (12, 2)]","[(9, 1), (16, 2), (14, 2), (11, 3), (12, 2)]","[(12, 1), (14, 1), (17, 9), (10, 6), (10, 3), (10, 9), (16, 1), (18, 4), (18, 1), (18, 7), (12, 9), (14, 9), (10, 2), (10, 5), (10, 8), (13, 1), (16, 9), (15, 1), (18, 3), (18, 9), (18, 6), (17, 1), (10, 4), (11, 9), (10, 7), (10, 1), (13, 9), (18, 2), (15, 9), (18, 5), (18, 8)]",16,9,25
