iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
12,"(34, 7)","(33, 7)",East,"[((35, 7), 'East', 1)]","['(34, 7)', '(32, 3)', '(34, 1)']","['(35, 7)', '(32, 3)', '(34, 1)']","[(33, 7), (35, 4), (34, 7), (35, 1), (33, 3), (34, 3), (33, 6), (35, 3), (33, 5), (35, 2), (35, 5), (33, 4)]",9,0,9
13,"(35, 7)","(34, 7)",East,[],"['(35, 7)', '(32, 3)', '(34, 1)']","['(32, 3)', '(34, 1)']","[(33, 7), (35, 4), (34, 7), (35, 1), (35, 7), (33, 3), (34, 3), (33, 6), (35, 3), (33, 5), (35, 2), (35, 5), (33, 4)]",10,0,10
14,"(32, 3)","(33, 3)",West,"[((31, 3), 'West', 1)]","['(32, 3)', '(34, 1)']","['(31, 3)', '(34, 1)']","[(33, 7), (35, 4), (34, 7), (35, 1), (35, 7), (32, 3), (33, 3), (34, 3), (33, 6), (35, 3), (33, 5), (35, 2), (35, 5), (33, 4)]",5,0,5
15,"(31, 3)","(32, 3)",West,"[((31, 4), 'North', 1), ((31, 2), 'South', 1)]","['(31, 3)', '(34, 1)']","['(31, 4)', '(31, 2)', '(34, 1)']","[(33, 7), (35, 4), (34, 7), (35, 1), (35, 7), (32, 3), (33, 3), (34, 3), (33, 6), (35, 3), (31, 3), (33, 5), (35, 2), (35, 5), (33, 4)]",6,0,6
16,"(31, 4)","(31, 3)",North,"[((31, 5), 'North', 1)]","['(31, 4)', '(31, 2)', '(34, 1)']","['(31, 5)', '(31, 2)', '(34, 1)']","[(33, 7), (35, 4), (34, 7), (35, 1), (35, 7), (31, 4), (32, 3), (33, 3), (34, 3), (33, 6), (35, 3), (31, 3), (33, 5), (35, 2), (35, 5), (33, 4)]",7,0,7
17,"(31, 5)","(31, 4)",North,"[((31, 6), 'North', 1), ((30, 5), 'West', 1)]","['(31, 5)', '(31, 2)', '(34, 1)']","['(31, 6)', '(30, 5)', '(31, 2)', '(34, 1)']","[(31, 5), (33, 7), (35, 4), (34, 7), (35, 1), (35, 7), (31, 4), (32, 3), (33, 3), (34, 3), (33, 6), (35, 3), (31, 3), (33, 5), (35, 2), (35, 5), (33, 4)]",8,0,8
18,"(31, 6)","(31, 5)",North,"[((31, 7), 'North', 1)]","['(31, 6)', '(30, 5)', '(31, 2)', '(34, 1)']","['(31, 7)', '(30, 5)', '(31, 2)', '(34, 1)']","[(31, 5), (33, 7), (35, 4), (34, 7), (35, 1), (35, 7), (31, 4), (32, 3), (33, 3), (34, 3), (33, 6), (35, 3), (31, 6), (31, 3), (33, 5), (35, 2), (35, 5), (33, 4)]",9,0,9
19,"(31, 7)","(31, 6)",North,"[((31, 8), 'North', 1)]","['(31, 7)', '(30, 5)', '(31, 2)', '(34, 1)']","['(31, 8)', '(30, 5)', '(31, 2)', '(34, 1)']","[(31, 5), (34, 7), (33, 5), (32, 3), (35, 2), (35, 5), (31, 4), (31, 7), (34, 3), (33, 4), (33, 7), (35, 4), (35, 1), (35, 7), (31, 6), (31, 3), (33, 3), (33, 6), (35, 3)]",10,0,10
20,"(31, 8)","(31, 7)",North,"[((31, 9), 'North', 1)]","['(31, 8)', '(30, 5)', '(31, 2)', '(34, 1)']","['(31, 9)', '(30, 5)', '(31, 2)', '(34, 1)']","[(31, 5), (31, 8), (34, 7), (33, 5), (32, 3), (35, 2), (35, 5), (31, 4), (31, 7), (34, 3), (33, 4), (33, 7), (35, 4), (35, 1), (35, 7), (31, 6), (31, 3), (33, 3), (33, 6), (35, 3)]",11,0,11
21,"(31, 9)","(31, 8)",North,"[((31, 10), 'North', 1), ((32, 9), 'East', 1)]","['(31, 9)', '(30, 5)', '(31, 2)', '(34, 1)']","['(31, 10)', '(32, 9)', '(30, 5)', '(31, 2)', '(34, 1)']","[(31, 5), (31, 8), (34, 7), (33, 5), (32, 3), (35, 2), (35, 5), (31, 4), (31, 7), (34, 3), (33, 4), (33, 7), (35, 4), (35, 1), (35, 7), (31, 6), (31, 3), (31, 9), (33, 3), (33, 6), (35, 3)]",12,0,12
22,"(31, 10)","(31, 9)",North,"[((31, 11), 'North', 1)]","['(31, 10)', '(32, 9)', '(30, 5)', '(31, 2)', '(34, 1)']","['(31, 11)', '(32, 9)', '(30, 5)', '(31, 2)', '(34, 1)']","[(31, 5), (31, 8), (34, 7), (33, 5), (32, 3), (35, 2), (35, 5), (31, 4), (31, 7), (34, 3), (31, 10), (33, 4), (33, 7), (35, 4), (35, 1), (35, 7), (31, 6), (31, 3), (31, 9), (33, 3), (33, 6), (35, 3)]",13,0,13
23,"(31, 11)","(31, 10)",North,"[((30, 11), 'West', 1)]","['(31, 11)', '(32, 9)', '(30, 5)', '(31, 2)', '(34, 1)']","['(30, 11)', '(32, 9)', '(30, 5)', '(31, 2)', '(34, 1)']","[(31, 5), (31, 11), (31, 8), (34, 7), (33, 5), (32, 3), (35, 2), (35, 5), (31, 4), (31, 7), (34, 3), (31, 10), (33, 4), (33, 7), (35, 4), (35, 1), (35, 7), (31, 6), (31, 3), (31, 9), (33, 3), (33, 6), (35, 3)]",14,0,14
24,"(30, 11)","(31, 11)",West,"[((29, 11), 'West', 1)]","['(30, 11)', '(32, 9)', '(30, 5)', '(31, 2)', '(34, 1)']","['(29, 11)', '(32, 9)', '(30, 5)', '(31, 2)', '(34, 1)']","[(31, 5), (31, 11), (31, 8), (34, 7), (33, 5), (32, 3), (35, 2), (35, 5), (31, 4), (31, 7), (34, 3), (31, 10), (33, 4), (30, 11), (33, 7), (35, 4), (35, 1), (35, 7), (31, 6), (31, 3), (31, 9), (33, 3), (33, 6), (35, 3)]",15,0,15
25,"(29, 11)","(30, 11)",West,[],"['(29, 11)', '(32, 9)', '(30, 5)', '(31, 2)', '(34, 1)']","['(32, 9)', '(30, 5)', '(31, 2)', '(34, 1)']","[(31, 5), (31, 11), (31, 8), (34, 7), (33, 5), (32, 3), (35, 2), (35, 5), (31, 4), (31, 7), (34, 3), (31, 10), (33, 4), (30, 11), (33, 7), (35, 4), (35, 1), (35, 7), (31, 6), (31, 3), (31, 9), (33, 3), (33, 6), (35, 3), (29, 11)]",16,0,16
26,"(32, 9)","(31, 9)",East,"[((33, 9), 'East', 1)]","['(32, 9)', '(30, 5)', '(31, 2)', '(34, 1)']","['(33, 9)', '(30, 5)', '(31, 2)', '(34, 1)']","[(31, 5), (31, 11), (31, 8), (34, 7), (33, 5), (32, 3), (35, 2), (32, 9), (35, 5), (31, 4), (31, 7), (34, 3), (31, 10), (33, 4), (30, 11), (33, 7), (35, 4), (35, 1), (35, 7), (31, 6), (31, 3), (31, 9), (33, 3), (33, 6), (35, 3), (29, 11)]",13,0,13
27,"(33, 9)","(32, 9)",East,"[((33, 10), 'North', 1), ((34, 9), 'East', 1)]","['(33, 9)', '(30, 5)', '(31, 2)', '(34, 1)']","['(33, 10)', '(34, 9)', '(30, 5)', '(31, 2)', '(34, 1)']","[(31, 5), (31, 11), (31, 8), (34, 7), (33, 5), (32, 3), (35, 2), (32, 9), (35, 5), (31, 4), (31, 7), (34, 3), (31, 10), (33, 4), (30, 11), (33, 7), (35, 4), (35, 1), (35, 7), (31, 6), (31, 3), (31, 9), (33, 3), (33, 9), (33, 6), (35, 3), (29, 11)]",14,0,14
28,"(33, 10)","(33, 9)",North,"[((33, 11), 'North', 1)]","['(33, 10)', '(34, 9)', '(30, 5)', '(31, 2)', '(34, 1)']","['(33, 11)', '(34, 9)', '(30, 5)', '(31, 2)', '(34, 1)']","[(31, 5), (31, 11), (31, 8), (34, 7), (33, 5), (32, 3), (35, 2), (32, 9), (35, 5), (31, 4), (31, 7), (34, 3), (31, 10), (33, 4), (30, 11), (33, 7), (35, 4), (35, 1), (35, 7), (33, 10), (31, 6), (31, 3), (31, 9), (33, 3), (33, 9), (33, 6), (35, 3), (29, 11)]",15,0,15
