iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
22,"(16, 2)","(16, 1)",North,"[((16, 3), 'North', 1)]","['(16, 2)', '(15, 1)', '(10, 6)']","['(15, 1)', '(10, 6)', '(16, 3)']","[(17, 9), (10, 9), (16, 1), (18, 4), (18, 1), (18, 7), (12, 9), (14, 9), (10, 8), (16, 9), (18, 3), (18, 9), (18, 6), (17, 1), (11, 9), (10, 7), (16, 2), (13, 9), (18, 2), (15, 9), (18, 5), (18, 8)]",11,0,11
23,"(15, 1)","(16, 1)",West,"[((14, 1), 'West', 1)]","['(15, 1)', '(10, 6)', '(16, 3)']","['(10, 6)', '(16, 3)', '(14, 1)']","[(17, 9), (10, 9), (16, 1), (18, 4), (18, 1), (18, 7), (12, 9), (14, 9), (10, 8), (16, 9), (15, 1), (18, 3), (18, 9), (18, 6), (17, 1), (11, 9), (10, 7), (16, 2), (13, 9), (18, 2), (15, 9), (18, 5), (18, 8)]",11,0,11
24,"(10, 6)","(10, 7)",South,"[((10, 5), 'South', 1)]","['(10, 6)', '(16, 3)', '(14, 1)']","['(16, 3)', '(14, 1)', '(10, 5)']","[(17, 9), (10, 6), (10, 9), (16, 1), (18, 4), (18, 1), (18, 7), (12, 9), (14, 9), (10, 8), (16, 9), (15, 1), (18, 3), (18, 9), (18, 6), (17, 1), (11, 9), (10, 7), (16, 2), (13, 9), (18, 2), (15, 9), (18, 5), (18, 8)]",11,0,11
25,"(16, 3)","(16, 2)",North,"[((16, 4), 'North', 1)]","['(16, 3)', '(14, 1)', '(10, 5)']","['(14, 1)', '(10, 5)', '(16, 4)']","[(17, 9), (10, 6), (10, 9), (16, 1), (18, 4), (18, 1), (18, 7), (12, 9), (14, 9), (10, 8), (16, 3), (16, 9), (15, 1), (18, 3), (18, 9), (18, 6), (17, 1), (11, 9), (10, 7), (16, 2), (13, 9), (18, 2), (15, 9), (18, 5), (18, 8)]",12,0,12
26,"(14, 1)","(15, 1)",West,"[((14, 2), 'North', 1), ((13, 1), 'West', 1)]","['(14, 1)', '(10, 5)', '(16, 4)']","['(10, 5)', '(16, 4)', '(14, 2)', '(13, 1)']","[(14, 1), (17, 9), (10, 6), (10, 9), (16, 1), (18, 4), (18, 1), (18, 7), (12, 9), (14, 9), (10, 8), (16, 3), (16, 9), (15, 1), (18, 3), (18, 9), (18, 6), (17, 1), (11, 9), (10, 7), (16, 2), (13, 9), (18, 2), (15, 9), (18, 5), (18, 8)]",12,0,12
27,"(10, 5)","(10, 6)",South,"[((10, 4), 'South', 1)]","['(10, 5)', '(16, 4)', '(14, 2)', '(13, 1)']","['(16, 4)', '(13, 1)', '(14, 2)', '(10, 4)']","[(14, 1), (17, 9), (10, 6), (10, 9), (16, 1), (18, 4), (18, 1), (18, 7), (12, 9), (14, 9), (10, 5), (10, 8), (16, 3), (16, 9), (15, 1), (18, 3), (18, 9), (18, 6), (17, 1), (11, 9), (10, 7), (16, 2), (13, 9), (18, 2), (15, 9), (18, 5), (18, 8)]",12,0,12
28,"(16, 4)","(16, 3)",North,"[((16, 5), 'North', 1)]","['(16, 4)', '(13, 1)', '(14, 2)', '(10, 4)']","['(14, 2)', '(13, 1)', '(10, 4)', '(16, 5)']","[(14, 1), (17, 9), (10, 6), (10, 9), (16, 4), (16, 1), (18, 4), (18, 1), (18, 7), (12, 9), (14, 9), (10, 5), (10, 8), (16, 3), (16, 9), (15, 1), (18, 3), (18, 9), (18, 6), (17, 1), (11, 9), (10, 7), (16, 2), (13, 9), (18, 2), (15, 9), (18, 5), (18, 8)]",13,0,13
29,"(14, 2)","(14, 1)",North,"[((14, 3), 'North', 1)]","['(14, 2)', '(13, 1)', '(10, 4)', '(16, 5)']","['(13, 1)', '(16, 5)', '(10, 4)', '(14, 3)']","[(14, 1), (17, 9), (10, 6), (10, 9), (16, 4), (16, 1), (18, 4), (18, 1), (18, 7), (12, 9), (14, 9), (10, 5), (10, 8), (16, 3), (16, 9), (15, 1), (18, 3), (18, 9), (18, 6), (14, 2), (17, 1), (11, 9), (10, 7), (16, 2), (13, 9), (18, 2), (15, 9), (18, 5), (18, 8)]",13,0,13
30,"(13, 1)","(14, 1)",West,"[((12, 1), 'West', 1)]","['(13, 1)', '(16, 5)', '(10, 4)', '(14, 3)']","['(10, 4)', '(16, 5)', '(14, 3)', '(12, 1)']","[(14, 1), (17, 9), (10, 6), (10, 9), (16, 4), (16, 1), (18, 4), (18, 1), (18, 7), (12, 9), (14, 9), (10, 5), (10, 8), (13, 1), (16, 3), (16, 9), (15, 1), (18, 3), (18, 9), (18, 6), (14, 2), (17, 1), (11, 9), (10, 7), (16, 2), (13, 9), (18, 2), (15, 9), (18, 5), (18, 8)]",13,0,13
31,"(10, 4)","(10, 5)",South,"[((10, 3), 'South', 1)]","['(10, 4)', '(16, 5)', '(14, 3)', '(12, 1)']","['(16, 5)', '(12, 1)', '(14, 3)', '(10, 3)']","[(14, 1), (17, 9), (10, 6), (10, 9), (16, 4), (16, 1), (18, 4), (18, 1), (18, 7), (12, 9), (14, 9), (10, 5), (10, 8), (13, 1), (16, 3), (16, 9), (15, 1), (18, 3), (18, 9), (18, 6), (14, 2), (17, 1), (10, 4), (11, 9), (10, 7), (16, 2), (13, 9), (18, 2), (15, 9), (18, 5), (18, 8)]",13,0,13
